Treads|Time|Energy|CO2eq|travelled
2|0:04:11|0,0103|1,4624|0,0136
4|0:02:27|0,0067|0,9544|0,0089
6|0:01:52|0,0056|0,7902|0,0074
8|0:01:34|0,0049|0,6992|0,0065
10|0:01:27|0,0048|0,6816|0,0063
12|0:01:28|0,0051|0,7223|0,0067
14|0:01:32|0,0056|0,7879|0,0073
16|0:01:39|0,0062|0,8755|0,0081
18|0:01:45|0,0068|0,9632|0,0090
20|0:01:52|0,0075|1,0588|0,0098
22|0:01:56|0,0079|1,1245|0,0105
24|0:01:46|0,0075|1,0566|0,0098
26|0:01:41|0,0072|1,0206|0,0095
28|0:01:35|0,0069|0,9814|0,0091
30|0:01:27|0,0065|0,9269|0,0086
32|0:01:23|0,0064|0,9031|0,0084
34|0:01:22|0,0065|0,9160|0,0085
36|0:01:15|0,0062|0,8748|0,0081
38|0:01:10|0,0061|0,8606|0,0080
40|0:01:05|0,0060|0,8557|0,0080
42|0:01:06|0,0062|0,8810|0,0082
44|0:01:07|0,0064|0,9087|0,0085
46|0:01:16|0,0069|0,9805|0,0091
48|0:01:14|0,0067|0,9553|0,0089
50|0:01:14|0,0067|0,9485|0,0088
52|0:01:14|0,0067|0,9522|0,0089
54|0:01:15|0,0069|0,9798|0,0091
56|0:01:15|0,0069|0,9795|0,0091
58|0:01:15|0,0070|0,9871|0,0092
60|0:01:17|0,0070|0,9914|0,0092
62|0:01:22|0,0072|1,0179|0,0095
64|0:01:26|0,0074|1,0513|0,0098
66|0:01:29|0,0076|1,0765|0,0100
68|0:01:30|0,0077|1,0878|0,0101
70|0:01:33|0,0079|1,1223|0,0104
72|0:01:26|0,0076|1,0743|0,0100
74|0:01:24|0,0075|1,0640|0,0099
76|0:01:20|0,0073|1,0339|0,0096
78|0:01:20|0,0074|1,0431|0,0097
80|0:01:16|0,0072|1,0274|0,0096
82|0:01:13|0,0071|1,0056|0,0094
84|0:01:13|0,0071|1,0073|0,0094
86|0:01:16|0,0073|1,0364|0,0096
88|0:01:16|0,0072|1,0275|0,0096
