Treads|Execution Time|Time|Energy|CO2eq|travelled
2|3,17603|0:00:03|0,0001|0,0656|0,0006
4|1,69201|0:00:02|0,0001|0,0389|0,0004
6|1,59128|0:00:02|0,0001|0,0370|0,0003
8|1,00954|0:00:01|0,0001|0,0267|0,0002
10|0,95434|0:00:01|0,0001|0,0251|0,0002
12|0,71652|0:00:01|0,0000|0,0000|0,0000
14|0,65686|0:00:01|0,0000|0,0000|0,0000
16|0,63384|0:00:01|0,0000|0,0000|0,0000
18|0,51954|0:00:01|0,0000|0,0000|0,0000
20|0,48561|0:00:00|0,0000|0,0000|0,0000
22|0,48003|0:00:00|0,0000|0,0000|0,0000
24|0,62859|0:00:01|0,0000|0,0000|0,0000
26|0,60114|0:00:01|0,0000|0,0000|0,0000
28|0,55506|0:00:01|0,0000|0,0000|0,0000
30|0,57082|0:00:01|0,0000|0,0000|0,0000
32|0,48065|0:00:00|0,0000|0,0000|0,0000
34|0,46883|0:00:00|0,0000|0,0000|0,0000
36|0,49202|0:00:01|0,0000|0,0000|0,0000
38|0,46279|0:00:00|0,0000|0,0000|0,0000
40|0,41001|0:00:00|0,0000|0,0000|0,0000
42|0,42996|0:00:00|0,0000|0,0000|0,0000
44|0,39194|0:00:00|0,0000|0,0000|0,0000
46|0,50428|0:00:01|0,0000|0,0000|0,0000
48|0,56221|0:00:01|0,0000|0,0000|0,0000
50|0,40581|0:00:00|0,0000|0,0000|0,0000
52|0,41933|0:00:00|0,0000|0,0000|0,0000
54|0,46018|0:00:00|0,0000|0,0000|0,0000
56|0,45648|0:00:00|0,0000|0,0000|0,0000
58|0,41440|0:00:00|0,0000|0,0000|0,0000
60|0,40914|0:00:00|0,0000|0,0000|0,0000
62|0,38169|0:00:00|0,0000|0,0000|0,0000
64|0,64807|0:00:01|0,0000|0,0000|0,0000
66|0,41427|0:00:00|0,0000|0,0000|0,0000
68|0,55246|0:00:01|0,0000|0,0000|0,0000
70|0,44515|0:00:00|0,0000|0,0000|0,0000
72|0,44438|0:00:00|0,0000|0,0000|0,0000
74|0,39218|0:00:00|0,0000|0,0000|0,0000
76|0,40542|0:00:00|0,0000|0,0000|0,0000
78|0,37814|0:00:00|0,0000|0,0000|0,0000
80|0,40170|0:00:00|0,0000|0,0000|0,0000
82|0,43470|0:00:00|0,0000|0,0000|0,0000
84|0,41419|0:00:00|0,0000|0,0000|0,0000
86|0,42145|0:00:00|0,0000|0,0000|0,0000
88|0,38686|0:00:00|0,0000|0,0000|0,0000
