Threads,time_seconds,Time,Energy,CO2eq,travelled
2,2.81048,0:00:03,0.0001,0.0541,0.0005
4,1.49549,0:00:02,0.0001,0.0326,0.0003
6,1.07619,0:00:01,0.0001,0.0257,0.0002
8,0.84959,0:00:01,0.0000,0.0190,0.0002
10,0.69703,0:00:01,0.0000,0.0000,0.0000
12,0.59911,0:00:01,0.0000,0.0000,0.0000
14,0.57825,0:00:01,0.0000,0.0000,0.0000
16,0.50665,0:00:01,0.0000,0.0000,0.0000
18,0.50437,0:00:01,0.0000,0.0000,0.0000
20,0.54404,0:00:01,0.0000,0.0000,0.0000
22,0.55381,0:00:01,0.0000,0.0000,0.0000
24,0.65649,0:00:01,0.0000,0.0000,0.0000
26,0.62567,0:00:01,0.0000,0.0000,0.0000
28,0.59349,0:00:01,0.0000,0.0000,0.0000
30,0.55804,0:00:01,0.0000,0.0000,0.0000
32,0.53341,0:00:01,0.0000,0.0000,0.0000
34,0.53594,0:00:01,0.0000,0.0000,0.0000
36,0.51683,0:00:01,0.0000,0.0000,0.0000
38,0.47794,0:00:00,0.0000,0.0000,0.0000
40,0.47407,0:00:00,0.0000,0.0000,0.0000
42,0.49132,0:00:01,0.0000,0.0000,0.0000
44,0.50078,0:00:01,0.0000,0.0000,0.0000
46,0.47815,0:00:00,0.0000,0.0000,0.0000
48,0.61681,0:00:01,0.0000,0.0000,0.0000
50,0.45392,0:00:00,0.0000,0.0000,0.0000
52,0.44177,0:00:00,0.0000,0.0000,0.0000
54,0.42576,0:00:00,0.0000,0.0000,0.0000
56,0.41065,0:00:00,0.0000,0.0000,0.0000
58,0.42537,0:00:00,0.0000,0.0000,0.0000
60,0.42441,0:00:00,0.0000,0.0000,0.0000
62,0.39216,0:00:00,0.0000,0.0000,0.0000
64,0.39140,0:00:00,0.0000,0.0000,0.0000
66,0.63111,0:00:01,0.0000,0.0000,0.0000
68,0.35520,0:00:00,0.0000,0.0000,0.0000
70,0.34883,0:00:00,0.0000,0.0000,0.0000
72,0.35461,0:00:00,0.0000,0.0000,0.0000
74,0.32361,0:00:00,0.0000,0.0000,0.0000
76,0.33543,0:00:00,0.0000,0.0000,0.0000
78,0.31837,0:00:00,0.0000,0.0000,0.0000
80,0.31393,0:00:00,0.0000,0.0000,0.0000
82,0.37774,0:00:00,0.0000,0.0000,0.0000
84,0.31107,0:00:00,0.0000,0.0000,0.0000
86,0.30828,0:00:00,0.0000,0.0000,0.0000
88,0.31439,0:00:00,0.0000,0.0000,0.0000
