Treads,time_seconds,Time,Energy,CO2eq,travelled
2,2.74820,0:00:03,0.0001,0.0524,0.0005
4,1.47886,0:00:01,0.0001,0.0325,0.0003
6,1.05373,0:00:01,0.0001,0.0260,0.0002
8,0.84219,0:00:01,0.0000,0.0189,0.0002
10,0.70034,0:00:01,0.0000,0.0000,0.0000
12,0.59977,0:00:01,0.0000,0.0000,0.0000
14,0.54562,0:00:01,0.0000,0.0000,0.0000
16,0.49603,0:00:01,0.0000,0.0000,0.0000
18,0.50138,0:00:01,0.0000,0.0000,0.0000
20,0.55406,0:00:01,0.0000,0.0000,0.0000
22,0.54693,0:00:01,0.0000,0.0000,0.0000
24,0.66892,0:00:01,0.0000,0.0000,0.0000
26,0.62715,0:00:01,0.0000,0.0000,0.0000
28,0.58888,0:00:01,0.0000,0.0000,0.0000
30,0.57515,0:00:01,0.0000,0.0000,0.0000
32,0.52716,0:00:01,0.0000,0.0000,0.0000
34,0.54081,0:00:01,0.0000,0.0000,0.0000
36,0.51505,0:00:01,0.0000,0.0000,0.0000
38,0.49971,0:00:01,0.0000,0.0000,0.0000
40,0.48317,0:00:00,0.0000,0.0000,0.0000
42,0.48759,0:00:00,0.0000,0.0000,0.0000
44,0.50065,0:00:01,0.0000,0.0000,0.0000
46,0.48315,0:00:00,0.0000,0.0000,0.0000
48,0.47259,0:00:00,0.0000,0.0000,0.0000
50,0.49656,0:00:01,0.0000,0.0000,0.0000
52,0.50621,0:00:01,0.0000,0.0000,0.0000
54,0.47840,0:00:00,0.0000,0.0000,0.0000
56,0.43179,0:00:00,0.0000,0.0000,0.0000
58,0.47967,0:00:00,0.0000,0.0000,0.0000
60,0.38843,0:00:00,0.0000,0.0000,0.0000
62,0.38845,0:00:00,0.0000,0.0000,0.0000
64,0.41375,0:00:00,0.0000,0.0000,0.0000
66,0.37305,0:00:00,0.0000,0.0000,0.0000
68,0.46099,0:00:00,0.0000,0.0000,0.0000
70,0.39240,0:00:00,0.0000,0.0000,0.0000
72,0.40418,0:00:00,0.0000,0.0000,0.0000
74,0.36031,0:00:00,0.0000,0.0000,0.0000
76,0.36053,0:00:00,0.0000,0.0000,0.0000
78,0.42831,0:00:00,0.0000,0.0000,0.0000
80,0.47034,0:00:00,0.0000,0.0000,0.0000
82,0.31294,0:00:00,0.0000,0.0000,0.0000
84,0.30843,0:00:00,0.0000,0.0000,0.0000
86,0.31618,0:00:00,0.0000,0.0000,0.0000
88,0.31226,0:00:00,0.0000,0.0000,0.0000
