Treads|Execution Time|Time|Energy|CO2eq|travelled
2|2,67893|0:00:03|0,0001|0,0528|0,0005
4|1,42449|0:00:01|0,0001|0,0317|0,0003
6|1,04624|0:00:01|0,0001|0,0251|0,0002
8|0,85839|0:00:01|0,0000|0,0194|0,0002
10|0,67708|0:00:01|0,0000|0,0000|0,0000
12|0,59737|0:00:01|0,0000|0,0000|0,0000
14|0,53956|0:00:01|0,0000|0,0000|0,0000
16|0,51945|0:00:01|0,0000|0,0000|0,0000
18|0,47934|0:00:00|0,0000|0,0000|0,0000
20|0,55186|0:00:01|0,0000|0,0000|0,0000
22|0,54913|0:00:01|0,0000|0,0000|0,0000
24|0,67560|0:00:01|0,0000|0,0000|0,0000
26|0,62516|0:00:01|0,0000|0,0000|0,0000
28|0,59131|0:00:01|0,0000|0,0000|0,0000
30|0,57928|0:00:01|0,0000|0,0000|0,0000
32|0,54906|0:00:01|0,0000|0,0000|0,0000
34|0,51967|0:00:01|0,0000|0,0000|0,0000
36|0,49862|0:00:01|0,0000|0,0000|0,0000
38|0,49263|0:00:01|0,0000|0,0000|0,0000
40|0,48659|0:00:01|0,0000|0,0000|0,0000
42|0,49629|0:00:01|0,0000|0,0000|0,0000
44|0,50122|0:00:01|0,0000|0,0000|0,0000
46|0,49945|0:00:01|0,0000|0,0000|0,0000
48|0,47784|0:00:00|0,0000|0,0000|0,0000
50|0,46385|0:00:00|0,0000|0,0000|0,0000
52|0,50645|0:00:01|0,0000|0,0000|0,0000
54|0,43358|0:00:00|0,0000|0,0000|0,0000
56|0,42933|0:00:00|0,0000|0,0000|0,0000
58|0,42769|0:00:00|0,0000|0,0000|0,0000
60|0,54612|0:00:01|0,0000|0,0000|0,0000
62|0,38200|0:00:00|0,0000|0,0000|0,0000
64|0,38131|0:00:00|0,0000|0,0000|0,0000
66|0,36742|0:00:00|0,0000|0,0000|0,0000
68|0,35138|0:00:00|0,0000|0,0000|0,0000
70|0,47838|0:00:00|0,0000|0,0000|0,0000
72|0,34529|0:00:00|0,0000|0,0000|0,0000
74|0,34312|0:00:00|0,0000|0,0000|0,0000
76|0,36767|0:00:00|0,0000|0,0000|0,0000
78|0,34573|0:00:00|0,0000|0,0000|0,0000
80|0,38286|0:00:00|0,0000|0,0000|0,0000
82|0,31068|0:00:00|0,0000|0,0000|0,0000
84|0,34117|0:00:00|0,0000|0,0000|0,0000
86|0,30357|0:00:00|0,0000|0,0000|0,0000
88|0,33111|0:00:00|0,0000|0,0000|0,0000
