 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      1       75,280681 0:01:15  0,0023 0,3251               0,0030
      2       49,424523 0:00:49  0,0017 0,2412               0,0022
      3       42,368566 0:00:42  0,0015 0,2147               0,0020
      4       37,997415 0:00:38  0,0014 0,2053               0,0019
      5       36,801677 0:00:37  0,0015 0,2062               0,0019
      6       35,076901 0:00:35  0,0014 0,1959               0,0018
      7       34,578157 0:00:35  0,0014 0,2029               0,0019
      8       33,820577 0:00:34  0,0013 0,1782               0,0017
      9       34,077445 0:00:34  0,0014 0,1956               0,0018
     10       33,509794 0:00:34  0,0013 0,1793               0,0017
     11       33,488317 0:00:34  0,0013 0,1820               0,0017
     12       33,153802 0:00:33  0,0013 0,1831               0,0017
     13       33,409277 0:00:33  0,0013 0,1875               0,0017
     14       33,452400 0:00:33  0,0013 0,1887               0,0018
     15       33,088540 0:00:33  0,0013 0,1896               0,0018
     16       33,471063 0:00:33  0,0014 0,1939               0,0018
     17       33,574845 0:00:34  0,0014 0,1974               0,0018
     18       33,100954 0:00:33  0,0014 0,1975               0,0018
     19       33,676394 0:00:34  0,0015 0,2064               0,0019
     20       33,681386 0:00:34  0,0015 0,2071               0,0019
     21       33,669594 0:00:34  0,0014 0,2051               0,0019
     22       33,660662 0:00:34  0,0015 0,2069               0,0019
     23       33,354792 0:00:33  0,0015 0,2083               0,0019
     24       34,055132 0:00:34  0,0016 0,2249               0,0021
     25       34,202411 0:00:34  0,0017 0,2340               0,0022
     26       32,973188 0:00:33  0,0015 0,2070               0,0019
     27       33,856656 0:00:34  0,0015 0,2096               0,0019
     28       34,204004 0:00:34  0,0016 0,2310               0,0021
     29       33,767360 0:00:34  0,0015 0,2119               0,0020
     30       34,535930 0:00:35  0,0018 0,2533               0,0024
     31       34,115390 0:00:34  0,0016 0,2303               0,0021
     32       34,149637 0:00:34  0,0017 0,2340               0,0022
     33       34,750455 0:00:35  0,0018 0,2585               0,0024
     34       35,041216 0:00:35  0,0017 0,2464               0,0023
     35       34,696213 0:00:35  0,0019 0,2678               0,0025
     36       35,477694 0:00:35  0,0018 0,2486               0,0023
     37       34,571044 0:00:35  0,0019 0,2700               0,0025
     38       35,491341 0:00:36  0,0018 0,2535               0,0024
     39       35,218314 0:00:35  0,0018 0,2571               0,0024
     40       35,515425 0:00:36  0,0019 0,2681               0,0025
