 Treads  Execution time    Time  Energy  CO2eq  km travelled by car
      1        84,73817 0:01:25  0,0028 0,3992               0,0037
      2        42,93470 0:00:43  0,0016 0,2307               0,0021
      3        28,68111 0:00:29  0,0013 0,1780               0,0017
      4        23,16722 0:00:23  0,0011 0,1528               0,0014
      5        20,09837 0:00:20  0,0009 0,1251               0,0012
      6        17,60965 0:00:18  0,0008 0,1142               0,0011
      7        15,87527 0:00:16  0,0007 0,1036               0,0010
      8        14,97018 0:00:15  0,0007 0,1027               0,0010
      9        13,30399 0:00:13  0,0007 0,0960               0,0009
     10        13,72581 0:00:14  0,0007 0,0972               0,0009
     11        12,26511 0:00:12  0,0007 0,0936               0,0009
     12        13,08164 0:00:13  0,0007 0,0982               0,0009
     13        12,46305 0:00:12  0,0007 0,1006               0,0009
     14        12,44403 0:00:13  0,0007 0,0999               0,0009
     15        12,42599 0:00:12  0,0007 0,1002               0,0009
     16        11,31961 0:00:11  0,0004 0,0539               0,0005
     17        12,22309 0:00:12  0,0007 0,1047               0,0010
     18        11,30962 0:00:11  0,0004 0,0538               0,0005
     19        11,84553 0:00:12  0,0006 0,0917               0,0009
     20        11,35808 0:00:11  0,0004 0,0543               0,0005
     21        11,46199 0:00:11  0,0004 0,0547               0,0005
     22        11,84242 0:00:12  0,0007 0,0934               0,0009
     23        12,28457 0:00:12  0,0008 0,1082               0,0010
     24        12,22097 0:00:12  0,0008 0,1071               0,0010
     25        12,59766 0:00:13  0,0008 0,1089               0,0010
     26        12,01624 0:00:12  0,0007 0,1047               0,0010
     27        11,95765 0:00:12  0,0007 0,1008               0,0009
     28        11,57701 0:00:12  0,0004 0,0562               0,0005
     29        12,27477 0:00:12  0,0008 0,1065               0,0010
     30        12,03059 0:00:12  0,0007 0,1062               0,0010
     31        12,02193 0:00:12  0,0007 0,1044               0,0010
     32        11,55533 0:00:12  0,0004 0,0555               0,0005
     33        12,09625 0:00:12  0,0007 0,1059               0,0010
     34        11,40195 0:00:11  0,0004 0,0548               0,0005
     35        12,23563 0:00:12  0,0008 0,1066               0,0010
     36        11,90508 0:00:12  0,0007 0,0997               0,0009
     37        11,57229 0:00:12  0,0004 0,0556               0,0005
     38        12,00644 0:00:12  0,0007 0,1061               0,0010
     39        11,57548 0:00:12  0,0004 0,0557               0,0005
     40        12,25216 0:00:12  0,0008 0,1082               0,0010
