 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      1       134,76731 0:02:15  0,0046 0,6519               0,0061
      2        68,21774 0:01:08  0,0026 0,3655               0,0034
      3        44,32395 0:00:44  0,0022 0,3066               0,0029
      4        34,07584 0:00:34  0,0018 0,2578               0,0024
      5        28,06002 0:00:28  0,0015 0,2178               0,0020
      6        23,74714 0:00:24  0,0014 0,1928               0,0018
      7        23,31580 0:00:23  0,0014 0,1938               0,0018
      8        20,67498 0:00:21  0,0012 0,1731               0,0016
      9        21,16237 0:00:21  0,0013 0,1799               0,0017
     10        19,60429 0:00:20  0,0012 0,1709               0,0016
     11        19,92314 0:00:20  0,0013 0,1792               0,0017
     12        18,81727 0:00:19  0,0012 0,1762               0,0016
     13        19,06210 0:00:19  0,0013 0,1808               0,0017
     14        18,51147 0:00:19  0,0013 0,1818               0,0017
     15        18,51426 0:00:19  0,0013 0,1871               0,0017
     16        17,29801 0:00:17  0,0013 0,1790               0,0017
     17        17,95220 0:00:18  0,0013 0,1884               0,0018
     18        18,41364 0:00:18  0,0014 0,1964               0,0018
     19        18,07526 0:00:18  0,0014 0,1983               0,0018
     20        17,59641 0:00:18  0,0014 0,1941               0,0018
     21        21,42578 0:00:21  0,0016 0,2254               0,0021
     22        20,89561 0:00:21  0,0015 0,2154               0,0020
     23        20,46492 0:00:20  0,0015 0,2126               0,0020
     24        20,14314 0:00:20  0,0015 0,2119               0,0020
     25        19,89253 0:00:20  0,0015 0,2099               0,0020
     26        19,31767 0:00:19  0,0015 0,2057               0,0019
     27        19,05455 0:00:19  0,0014 0,2028               0,0019
     28        18,49340 0:00:19  0,0014 0,1966               0,0018
     29        18,62596 0:00:19  0,0014 0,2004               0,0019
     30        18,16769 0:00:18  0,0014 0,1930               0,0018
     31        18,42354 0:00:18  0,0014 0,2003               0,0019
     32        18,42060 0:00:18  0,0014 0,1982               0,0018
     33        18,24294 0:00:18  0,0014 0,1970               0,0018
     34        18,18224 0:00:18  0,0014 0,1971               0,0018
     35        18,28220 0:00:18  0,0014 0,1997               0,0019
     36        18,06224 0:00:18  0,0014 0,1975               0,0018
     37        18,55068 0:00:19  0,0014 0,2035               0,0019
     38        18,28541 0:00:18  0,0014 0,2011               0,0019
     39        18,30729 0:00:18  0,0014 0,2032               0,0019
     40        18,08670 0:00:18  0,0014 0,1994               0,0019
