 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      1         7,03745 0:00:07  0,0002 0,0339               0,0003
      2         3,61908 0:00:04  0,0001 0,0197               0,0002
      3         2,45695 0:00:02  0,0001 0,0172               0,0002
      4         1,97127 0:00:02  0,0001 0,0147               0,0001
      5         1,64941 0:00:02  0,0001 0,0128               0,0001
      6         1,32227 0:00:01  0,0001 0,0107               0,0001
      7         1,26165 0:00:01  0,0001 0,0105               0,0001
      8         1,11356 0:00:01  0,0001 0,0096               0,0001
      9         1,10363 0:00:01  0,0001 0,0097               0,0001
     10         0,85275 0:00:01  0,0000 0,0070               0,0001
     11         0,86994 0:00:01  0,0001 0,0073               0,0001
     12         0,73478 0:00:01  0,0000 0,0000               0,0000
     13         0,74561 0:00:01  0,0000 0,0000               0,0000
     14         0,63847 0:00:01  0,0000 0,0000               0,0000
     15         0,57562 0:00:01  0,0000 0,0000               0,0000
     16         0,63530 0:00:01  0,0000 0,0000               0,0000
     17         0,69141 0:00:01  0,0000 0,0000               0,0000
     18         0,52454 0:00:01  0,0000 0,0000               0,0000
     19         0,82258 0:00:01  0,0001 0,0078               0,0001
     20         0,63617 0:00:01  0,0000 0,0000               0,0000
     21         0,84130 0:00:01  0,0001 0,0083               0,0001
     22         0,81287 0:00:01  0,0001 0,0079               0,0001
     23         0,81638 0:00:01  0,0000 0,0000               0,0000
     24         0,83371 0:00:01  0,0001 0,0083               0,0001
     25         0,77756 0:00:01  0,0000 0,0000               0,0000
     26         0,76496 0:00:01  0,0000 0,0000               0,0000
     27         0,70877 0:00:01  0,0000 0,0000               0,0000
     28         0,68393 0:00:01  0,0000 0,0000               0,0000
     29         0,69353 0:00:01  0,0000 0,0000               0,0000
     30         0,67111 0:00:01  0,0000 0,0000               0,0000
     31         0,71200 0:00:01  0,0000 0,0000               0,0000
     32         0,68644 0:00:01  0,0000 0,0000               0,0000
     33         0,62874 0:00:01  0,0000 0,0000               0,0000
     34         0,61924 0:00:01  0,0000 0,0000               0,0000
     35         0,62643 0:00:01  0,0000 0,0000               0,0000
     36         0,63440 0:00:01  0,0000 0,0000               0,0000
     37         0,61461 0:00:01  0,0000 0,0000               0,0000
     38         0,61057 0:00:01  0,0000 0,0000               0,0000
     39         0,60562 0:00:01  0,0000 0,0000               0,0000
     40         0,61643 0:00:01  0,0000 0,0000               0,0000
