Treads|Execution Time|Time|Energy|CO2eq|travelled
2|50,532716|0:00:51|0,0017|0,2428|0,0023
4|38,024110|0:00:38|0,0014|0,1946|0,0018
6|35,665589|0:00:36|0,0013|0,1799|0,0017
8|34,265334|0:00:34|0,0013|0,1845|0,0017
10|33,792096|0:00:34|0,0012|0,1667|0,0016
12|33,625688|0:00:34|0,0012|0,1671|0,0016
14|33,450280|0:00:33|0,0012|0,1714|0,0016
16|33,473161|0:00:34|0,0012|0,1743|0,0016
18|33,112585|0:00:33|0,0012|0,1637|0,0015
20|33,619549|0:00:34|0,0013|0,1799|0,0017
22|34,251612|0:00:34|0,0015|0,2068|0,0019
24|34,246681|0:00:34|0,0015|0,2063|0,0019
26|33,781528|0:00:34|0,0013|0,1815|0,0017
28|33,772395|0:00:34|0,0013|0,1800|0,0017
30|34,774562|0:00:35|0,0016|0,2207|0,0021
32|34,603791|0:00:35|0,0016|0,7482|0,0070
34|34,718148|0:00:35|0,0016|0,7655|0,0071
36|34,697619|0:00:35|0,0016|0,7748|0,0072
38|35,753924|0:00:36|0,0017|0,7981|0,0074
40|35,558900|0:00:36|0,0016|0,7409|0,0069
