Threads,time_seconds,Time,Energy,CO2eq,travelled
2,50.036737,0:00:50,0.0017,0.8219,0.0076
4,38.028550,0:00:38,0.0014,0.6493,0.0060
6,34.868039,0:00:35,0.0013,0.6292,0.0059
8,34.144900,0:00:34,0.0013,0.6058,0.0056
10,33.418376,0:00:33,0.0012,0.5510,0.0051
12,33.266355,0:00:33,0.0012,0.5582,0.0052
14,33.049572,0:00:33,0.0012,0.5594,0.0052
16,33.657947,0:00:34,0.0012,0.5856,0.0054
18,33.731152,0:00:34,0.0012,0.5930,0.0055
20,33.293176,0:00:33,0.0013,0.5970,0.0056
22,34.350618,0:00:34,0.0015,0.7033,0.0065
24,34.362639,0:00:34,0.0015,0.7058,0.0066
26,33.960771,0:00:34,0.0013,0.6323,0.0059
28,33.694309,0:00:34,0.0013,0.6032,0.0056
30,34.759092,0:00:35,0.0016,0.7482,0.0070
32,34.286806,0:00:34,0.0015,0.7266,0.0068
34,35.285335,0:00:35,0.0015,0.7227,0.0067
36,35.621124,0:00:36,0.0016,0.7376,0.0069
38,34.913788,0:00:35,0.0016,0.7687,0.0072
40,34.681177,0:00:35,0.0017,0.2399,0.0022
