Treads,time_seconds,Time,Energy,CO2eq,travelled
2,50.022988,0:00:50,0.0017,0.8137,0.0076
4,37.941973,0:00:38,0.0014,0.6607,0.0061
6,35.515200,0:00:36,0.0013,0.6045,0.0056
8,33.417830,0:00:33,0.0011,0.5411,0.0050
10,33.872000,0:00:34,0.0012,0.5665,0.0053
12,33.017305,0:00:33,0.0012,0.5536,0.0051
14,33.916017,0:00:34,0.0013,0.6012,0.0056
16,33.798761,0:00:34,0.0012,0.5838,0.0054
18,33.339331,0:00:33,0.0012,0.5861,0.0055
20,33.672253,0:00:34,0.0013,0.6001,0.0056
22,33.896755,0:00:34,0.0013,0.6291,0.0059
24,33.367802,0:00:33,0.0013,0.6010,0.0056
26,33.889693,0:00:34,0.0013,0.6197,0.0058
28,34.004775,0:00:34,0.0014,0.6431,0.0060
30,34.974242,0:00:35,0.0015,0.7121,0.0066
32,34.938374,0:00:35,0.0015,0.7198,0.0067
34,35.288617,0:00:35,0.0015,0.7173,0.0067
36,35.220755,0:00:35,0.0016,0.7380,0.0069
38,35.097891,0:00:35,0.0016,0.7521,0.0070
40,35.287078,0:00:35,0.0016,0.7610,0.0071
