 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       50,138917 0:00:50  0,0017 0,7980               0,0074
      4       38,378927 0:00:38  0,0013 0,6401               0,0060
      6       35,507340 0:00:36  0,0013 0,5982               0,0056
      8       34,177002 0:00:34  0,0013 0,5980               0,0056
     10       33,543060 0:00:34  0,0011 0,5462               0,0051
     12       33,296854 0:00:33  0,0012 0,5567               0,0052
     14       32,957532 0:00:33  0,0012 0,5582               0,0052
     16       33,586926 0:00:34  0,0012 0,5794               0,0054
     18       33,417056 0:00:33  0,0012 0,5923               0,0055
     20       33,666644 0:00:34  0,0013 0,6087               0,0057
     22       33,877693 0:00:34  0,0013 0,6182               0,0058
     24       34,022042 0:00:34  0,0014 0,6594               0,0061
     26       33,826076 0:00:34  0,0013 0,6083               0,0057
     28       33,847141 0:00:34  0,0013 0,6095               0,0057
     30       34,523977 0:00:35  0,0016 0,7377               0,0069
     32       34,545705 0:00:35  0,0015 0,6967               0,0065
     34       34,935353 0:00:35  0,0016 0,7485               0,0070
     36       35,133776 0:00:35  0,0016 0,7436               0,0069
     38       35,417861 0:00:35  0,0016 0,7393               0,0069
     40       35,514296 0:00:36  0,0017 0,7852               0,0073
