Treads,time_seconds,Time,Energy,CO2eq,travelled
2,45.51459,0:00:46,0.0015,0.2144,0.0020
4,23.87930,0:00:24,0.0010,0.1365,0.0013
6,17.97000,0:00:18,0.0007,0.1026,0.0010
8,14.91306,0:00:15,0.0006,0.0912,0.0008
10,12.77154,0:00:13,0.0006,0.0821,0.0008
12,12.40283,0:00:12,0.0006,0.0843,0.0008
14,12.34869,0:00:12,0.0006,0.0866,0.0008
16,12.47730,0:00:12,0.0006,0.0865,0.0008
18,11.88291,0:00:12,0.0006,0.0850,0.0008
20,12.17296,0:00:12,0.0006,0.0904,0.0008
22,11.13807,0:00:11,0.0003,0.0445,0.0004
24,12.18226,0:00:12,0.0007,0.0933,0.0009
26,12.22353,0:00:12,0.0007,0.0937,0.0009
28,11.96071,0:00:12,0.0006,0.0917,0.0009
30,12.06235,0:00:12,0.0007,0.0934,0.0009
32,12.04513,0:00:12,0.0007,0.0944,0.0009
34,12.35308,0:00:12,0.0007,0.0948,0.0009
36,10.97905,0:00:11,0.0003,0.0461,0.0004
38,11.77042,0:00:12,0.0003,0.0473,0.0004
40,11.12793,0:00:11,0.0003,0.0444,0.0004
