Treads|Time|Energy|CO2eq|travelled
2|0:00:45|0,0014|0,2000|0,0019
4|0:00:23|0,0010|0,1375|0,0013
6|0:00:18|0,0007|0,1005|0,0009
8|0:00:15|0,0006|0,0901|0,0008
10|0:00:14|0,0006|0,0869|0,0008
12|0:00:12|0,0005|0,0720|0,0007
14|0:00:12|0,0005|0,0770|0,0007
16|0:00:12|0,0006|0,0857|0,0008
18|0:00:11|0,0003|0,0438|0,0004
20|0:00:11|0,0003|0,0441|0,0004
22|0:00:12|0,0003|0,0474|0,0004
24|0:00:12|0,0006|0,0920|0,0009
26|0:00:12|0,0007|0,0926|0,0009
28|0:00:11|0,0003|0,0473|0,0004
30|0:00:12|0,0003|0,0475|0,0004
32|0:00:12|0,0003|0,0484|0,0005
34|0:00:12|0,0007|0,0946|0,0009
36|0:00:12|0,0006|0,0874|0,0008
38|0:00:12|0,0007|0,0925|0,0009
40|0:00:12|0,0006|0,0909|0,0008
