Threads,time_seconds,Time,Energy,CO2eq,travelled
2,44.10628,0:00:44,0.0017,0.8047,0.0075
4,23.82260,0:00:24,0.0010,0.4559,0.0042
6,17.38890,0:00:17,0.0007,0.3352,0.0031
8,14.66446,0:00:15,0.0006,0.3009,0.0028
10,13.96438,0:00:14,0.0006,0.2899,0.0027
12,12.90113,0:00:13,0.0006,0.2889,0.0027
14,12.36078,0:00:12,0.0006,0.2851,0.0027
16,12.48649,0:00:13,0.0006,0.2916,0.0027
18,12.27380,0:00:12,0.0006,0.3045,0.0028
20,11.73978,0:00:12,0.0003,0.1593,0.0015
22,12.21591,0:00:12,0.0007,0.3099,0.0029
24,12.42940,0:00:12,0.0007,0.3169,0.0029
26,12.20965,0:00:12,0.0007,0.3115,0.0029
28,11.99681,0:00:12,0.0007,0.3106,0.0029
30,11.69109,0:00:12,0.0003,0.1602,0.0015
32,12.41149,0:00:12,0.0007,0.3153,0.0029
34,11.96038,0:00:12,0.0002,0.0814,0.0008
36,11.72833,0:00:12,0.0003,0.1627,0.0015
38,12.39033,0:00:12,0.0007,0.3207,0.0030
40,11.67532,0:00:12,0.0003,0.1600,0.0015
