Threads,time_seconds,Time,Energy,CO2eq,travelled
2,70.62271,0:01:11,0.0023,1.1153,0.0104
4,34.19293,0:00:34,0.0016,0.7442,0.0069
6,24.16922,0:00:24,0.0012,0.5926,0.0055
8,20.84158,0:00:21,0.0011,0.5158,0.0048
10,19.53217,0:00:20,0.0011,0.5029,0.0047
12,19.06144,0:00:19,0.0011,0.5205,0.0048
14,17.93648,0:00:18,0.0011,0.5136,0.0048
16,18.24685,0:00:18,0.0011,0.5457,0.0051
18,17.76955,0:00:18,0.0012,0.5565,0.0052
20,18.31236,0:00:18,0.0012,0.5858,0.0054
22,20.83836,0:00:21,0.0013,0.6313,0.0059
24,20.08077,0:00:20,0.0013,0.6164,0.0057
26,19.33086,0:00:19,0.0013,0.5972,0.0056
28,19.28483,0:00:19,0.0013,0.6055,0.0056
30,18.51989,0:00:19,0.0012,0.5874,0.0055
32,18.48639,0:00:19,0.0012,0.5913,0.0055
34,18.40682,0:00:18,0.0012,0.5929,0.0055
36,17.95658,0:00:18,0.0012,0.5855,0.0054
38,18.40638,0:00:18,0.0013,0.6006,0.0056
40,18.34712,0:00:18,0.0013,0.6062,0.0056
