Treads,time_seconds,Time,Energy,CO2eq,travelled
2,64.37703,0:01:04,0.0026,1.2363,0.0115
4,33.58504,0:00:34,0.0016,0.7437,0.0069
6,24.56852,0:00:25,0.0013,0.6009,0.0056
8,20.88239,0:00:21,0.0011,0.5229,0.0049
10,21.66466,0:00:22,0.0012,0.5562,0.0052
12,19.80430,0:00:20,0.0011,0.5434,0.0051
14,19.21899,0:00:19,0.0011,0.5448,0.0051
16,18.21340,0:00:18,0.0012,0.5478,0.0051
18,17.73471,0:00:18,0.0012,0.5567,0.0052
20,17.60053,0:00:18,0.0012,0.5725,0.0053
22,20.95842,0:00:21,0.0013,0.6342,0.0059
24,20.05157,0:00:20,0.0013,0.6184,0.0058
26,19.32711,0:00:19,0.0013,0.6023,0.0056
28,18.54419,0:00:19,0.0012,0.5885,0.0055
30,18.53555,0:00:19,0.0012,0.5904,0.0055
32,18.17918,0:00:18,0.0012,0.5870,0.0055
34,18.15495,0:00:18,0.0012,0.5902,0.0055
36,18.08878,0:00:18,0.0012,0.5934,0.0055
38,18.02862,0:00:18,0.0013,0.5979,0.0056
40,18.14803,0:00:18,0.0013,0.6110,0.0057
