Treads,time_seconds,Time,Energy,CO2eq,travelled
2,142.63,0:02:23,0.0046,2.1874,0.0203
4,84.07,0:01:24,0.0036,1.7149,0.0160
6,60.95,0:01:01,0.0029,1.3636,0.0127
8,52.39,0:00:52,0.0026,1.2412,0.0115
10,45.50,0:00:46,0.0024,1.1469,0.0107
12,42.46,0:00:43,0.0024,1.1300,0.0105
14,39.07,0:00:39,0.0023,1.1102,0.0103
16,37.47,0:00:38,0.0023,1.1109,0.0103
18,37.72,0:00:38,0.0025,1.1788,0.0110
20,36.55,0:00:37,0.0025,1.1997,0.0112
22,47.59,0:00:48,0.0032,1.5009,0.0140
24,47.80,0:00:48,0.0032,1.5256,0.0142
26,46.32,0:00:46,0.0031,1.4915,0.0139
28,47.05,0:00:47,0.0032,1.5336,0.0143
30,47.00,0:00:47,0.0033,1.5606,0.0145
32,47.59,0:00:48,0.0034,1.6106,0.0150
34,47.66,0:00:48,0.0034,1.6290,0.0152
36,49.82,0:00:50,0.0036,1.7029,0.0158
38,49.48,0:00:50,0.0036,1.7099,0.0159
40,49.95,0:00:50,0.0037,1.7633,0.0164
