Threads,time_seconds,Time,Energy,CO2eq,travelled
2,137.33,0:02:17,0.0045,0.6325,0.0059
4,78.62,0:01:19,0.0035,0.4947,0.0046
6,62.67,0:01:03,0.0030,0.4190,0.0039
8,52.28,0:00:52,0.0026,0.3720,0.0035
10,45.71,0:00:46,0.0024,0.3423,0.0032
12,42.08,0:00:42,0.0024,0.3356,0.0031
14,38.23,0:00:38,0.0023,0.3248,0.0030
16,37.75,0:00:38,0.0024,0.3398,0.0032
18,38.14,0:00:38,0.0025,0.3496,0.0033
20,35.47,0:00:36,0.0025,0.3529,0.0033
22,49.22,0:00:49,0.0033,0.4680,0.0044
24,48.32,0:00:48,0.0033,0.4625,0.0043
26,47.36,0:00:47,0.0033,0.4625,0.0043
28,47.35,0:00:47,0.0033,0.4667,0.0043
30,49.15,0:00:49,0.0034,0.4886,0.0045
32,46.70,0:00:47,0.0033,0.4730,0.0044
34,47.27,0:00:47,0.0034,0.4805,0.0045
36,49.00,0:00:49,0.0036,0.5042,0.0047
38,49.61,0:00:50,0.0036,0.5168,0.0048
40,51.59,0:00:52,0.0038,0.5451,0.0051
