Treads|Time|Energy|CO2eq|travelled
2|0:02:16|0,0043|2,0632|0,0192
4|0:01:21|0,0036|1,6899|0,0157
6|0:01:02|0,0029|1,3982|0,0130
8|0:00:53|0,0026|1,2485|0,0116
10|0:00:46|0,0025|1,1651|0,0108
12|0:00:43|0,0024|1,1600|0,0108
14|0:00:39|0,0023|1,1100|0,0103
16|0:00:37|0,0023|1,1077|0,0103
18|0:00:36|0,0024|1,1385|0,0106
20|0:00:37|0,0026|1,2283|0,0114
22|0:00:48|0,0032|1,5185|0,0141
24|0:00:48|0,0032|1,5377|0,0143
26|0:00:47|0,0032|1,5320|0,0143
28|0:00:47|0,0033|1,5748|0,0146
30|0:00:48|0,0034|1,6087|0,0150
32|0:00:48|0,0034|1,6344|0,0152
34|0:00:47|0,0034|1,6190|0,0151
36|0:00:48|0,0035|1,6767|0,0156
38|0:00:51|0,0037|1,7688|0,0165
40|0:00:52|0,0039|1,8306|0,0170
