Treads,time_seconds,Time,Energy,CO2eq,travelled
2,478.27,0:08:02,0.0157,7.4797,0.0696
4,271.36,0:04:34,0.0097,4.6296,0.0431
6,195.03,0:03:17,0.0078,3.6867,0.0343
8,150.06,0:02:31,0.0067,3.1836,0.0296
10,125.03,0:02:06,0.0063,2.9695,0.0276
12,107.29,0:01:48,0.0067,3.1672,0.0295
14,91.86,0:01:33,0.0061,2.8971,0.0269
16,78.27,0:01:19,0.0055,2.6327,0.0245
18,74.12,0:01:15,0.0047,2.2291,0.0207
20,65.38,0:01:06,0.0052,2.4787,0.0231
22,97.83,0:01:39,0.0065,3.0781,0.0286
24,87.64,0:01:28,0.0061,2.8781,0.0268
26,90.07,0:01:31,0.0062,2.9440,0.0274
28,77.61,0:01:18,0.0058,2.7418,0.0255
30,80.18,0:01:21,0.0059,2.7867,0.0259
32,71.73,0:01:12,0.0056,2.6503,0.0247
34,70.84,0:01:12,0.0056,2.6709,0.0248
36,66.38,0:01:07,0.0054,2.5852,0.0240
38,65.47,0:01:06,0.0055,2.5908,0.0241
40,58.07,0:00:59,0.0052,2.4544,0.0228
