Treads,time_seconds,Time,Energy,CO2eq,travelled
2,189.83,0:03:19,0.0062,0.8724,0.0081
4,97.17,0:01:42,0.0035,0.4932,0.0046
6,67.47,0:01:11,0.0026,0.3730,0.0035
8,51.37,0:00:54,0.0021,0.3024,0.0028
10,41.72,0:00:44,0.0020,0.2804,0.0026
12,43.65,0:00:46,0.0025,0.3598,0.0033
14,27.91,0:00:30,0.0017,0.2477,0.0023
16,24.42,0:00:26,0.0016,0.2338,0.0022
18,21.72,0:00:23,0.0016,0.2215,0.0021
20,19.58,0:00:21,0.0014,0.2041,0.0019
22,28.81,0:00:30,0.0020,0.2844,0.0026
24,26.66,0:00:28,0.0018,0.2577,0.0024
26,25.38,0:00:27,0.0018,0.2551,0.0024
28,23.38,0:00:25,0.0017,0.2406,0.0022
30,22.05,0:00:23,0.0016,0.2323,0.0022
32,21.29,0:00:23,0.0016,0.2250,0.0021
34,19.66,0:00:21,0.0015,0.2079,0.0019
36,18.43,0:00:20,0.0014,0.2031,0.0019
38,17.62,0:00:19,0.0014,0.1965,0.0018
40,16.64,0:00:18,0.0013,0.1851,0.0017
