Treads|Time|Energy|CO2eq|travelled
2|0:01:49|0,0037|1,7741|0,0165
4|0:01:00|0,0023|1,0721|0,0100
6|0:00:42|0,0018|0,8323|0,0077
8|0:00:33|0,0015|0,7117|0,0066
10|0:00:28|0,0014|0,6555|0,0061
12|0:00:23|0,0014|0,6617|0,0062
14|0:00:20|0,0012|0,5918|0,0055
16|0:00:17|0,0012|0,5588|0,0052
18|0:00:16|0,0011|0,5349|0,0050
20|0:00:14|0,0011|0,5216|0,0049
22|0:00:20|0,0013|0,6283|0,0058
24|0:00:19|0,0013|0,5970|0,0056
26|0:00:18|0,0012|0,5878|0,0055
28|0:00:18|0,0012|0,5818|0,0054
30|0:00:18|0,0012|0,5912|0,0055
32|0:00:16|0,0012|0,5767|0,0054
34|0:00:16|0,0012|0,5476|0,0051
36|0:00:15|0,0012|0,5547|0,0052
38|0:00:14|0,0011|0,5450|0,0051
40|0:00:14|0,0011|0,5374|0,0050
