Treads,time_seconds,Time,Energy,CO2eq,travelled
2,99.62,0:01:50,0.0038,1.8075,0.0168
4,54.26,0:01:00,0.0023,1.0761,0.0100
6,38.72,0:00:43,0.0018,0.8372,0.0078
8,30.05,0:00:33,0.0015,0.7156,0.0067
10,25.34,0:00:28,0.0014,0.6598,0.0061
12,21.19,0:00:23,0.0014,0.6752,0.0063
14,18.35,0:00:20,0.0013,0.6021,0.0056
16,15.97,0:00:17,0.0012,0.5707,0.0053
18,14.56,0:00:16,0.0011,0.5440,0.0051
20,13.15,0:00:14,0.0011,0.5365,0.0050
22,18.17,0:00:20,0.0014,0.6416,0.0060
24,17.43,0:00:19,0.0013,0.6094,0.0057
26,16.43,0:00:18,0.0013,0.6026,0.0056
28,16.54,0:00:18,0.0013,0.5967,0.0056
30,16.61,0:00:18,0.0013,0.5996,0.0056
32,15.24,0:00:16,0.0012,0.5838,0.0054
34,14.66,0:00:16,0.0012,0.5734,0.0053
36,13.92,0:00:15,0.0012,0.5624,0.0052
38,13.10,0:00:14,0.0012,0.5508,0.0051
40,12.60,0:00:14,0.0012,0.5465,0.0051
