Treads,time_seconds,Time,Energy,CO2eq,travelled
2,110.94,0:01:58,0.0041,1.9513,0.0182
4,68.26,0:01:12,0.0028,1.3155,0.0122
6,54.67,0:00:57,0.0025,1.1678,0.0109
8,48.89,0:00:51,0.0024,1.1375,0.0106
10,47.14,0:00:49,0.0025,1.1850,0.0110
12,39.12,0:00:41,0.0025,1.1782,0.0110
14,33.97,0:00:35,0.0023,1.0738,0.0100
16,28.71,0:00:30,0.0021,0.9780,0.0091
18,26.08,0:00:27,0.0020,0.9451,0.0088
20,23.65,0:00:25,0.0020,0.9280,0.0086
22,29.62,0:00:31,0.0022,1.0479,0.0097
24,29.09,0:00:30,0.0022,1.0443,0.0097
26,29.63,0:00:31,0.0022,1.0612,0.0099
28,30.90,0:00:32,0.0023,1.0845,0.0101
30,31.98,0:00:33,0.0024,1.1237,0.0105
32,29.84,0:00:31,0.0023,1.0848,0.0101
34,28.29,0:00:29,0.0022,1.0566,0.0098
36,26.82,0:00:28,0.0022,1.0277,0.0096
38,25.15,0:00:26,0.0021,1.0092,0.0094
40,24.53,0:00:25,0.0021,1.0110,0.0094
