Treads|Time|Energy|CO2eq|travelled
2|0:01:56|0,0040|1,9180|0,0178
4|0:01:12|0,0028|1,3205|0,0123
6|0:00:57|0,0024|1,1539|0,0107
8|0:00:50|0,0024|1,1271|0,0105
10|0:00:50|0,0025|1,2071|0,0112
12|0:00:40|0,0024|1,1611|0,0108
14|0:00:34|0,0023|1,0702|0,0100
16|0:00:30|0,0021|0,9891|0,0092
18|0:00:28|0,0020|0,9581|0,0089
20|0:00:25|0,0020|0,9337|0,0087
22|0:00:31|0,0022|1,0493|0,0098
24|0:00:31|0,0022|1,0432|0,0097
26|0:00:30|0,0022|1,0568|0,0098
28|0:00:32|0,0023|1,0974|0,0102
30|0:00:33|0,0024|1,1261|0,0105
32|0:00:31|0,0023|1,0857|0,0101
34|0:00:29|0,0022|1,0555|0,0098
36|0:00:28|0,0022|1,0283|0,0096
38|0:00:26|0,0021|1,0073|0,0094
40|0:00:25|0,0021|0,9953|0,0093
