Threads,time_seconds,Time,Energy,CO2eq,travelled
2,110.76,0:01:57,0.0041,1.9580,0.0182
4,67.97,0:01:12,0.0028,1.3245,0.0123
6,53.41,0:00:56,0.0024,1.1442,0.0106
8,48.52,0:00:51,0.0024,1.1416,0.0106
10,48.10,0:00:50,0.0026,1.2216,0.0114
12,38.82,0:00:40,0.0025,1.1782,0.0110
14,33.37,0:00:35,0.0023,1.0819,0.0101
16,28.81,0:00:30,0.0021,0.9882,0.0092
18,26.71,0:00:28,0.0020,0.9665,0.0090
20,23.76,0:00:25,0.0020,0.9429,0.0088
22,29.73,0:00:31,0.0022,1.0549,0.0098
24,29.56,0:00:31,0.0022,1.0521,0.0098
26,29.51,0:00:31,0.0022,1.0536,0.0098
28,31.07,0:00:32,0.0023,1.0926,0.0102
30,32.33,0:00:33,0.0024,1.1242,0.0105
32,30.19,0:00:31,0.0023,1.0955,0.0102
34,28.46,0:00:29,0.0022,1.0597,0.0099
36,27.18,0:00:28,0.0022,1.0420,0.0097
38,25.61,0:00:26,0.0021,1.0185,0.0095
40,24.74,0:00:26,0.0021,1.0156,0.0094
