Threads,time_seconds,Time,Energy,CO2eq,travelled
2,276.70,0:04:39,0.0097,1.3739,0.0128
4,161.96,0:02:43,0.0063,0.8938,0.0083
6,142.78,0:02:24,0.0060,0.8563,0.0080
8,140.03,0:02:21,0.0066,0.9406,0.0087
10,147.50,0:02:28,0.0077,1.0846,0.0101
12,122.11,0:02:03,0.0075,1.0641,0.0099
14,105.50,0:01:46,0.0069,0.9800,0.0091
16,90.50,0:01:31,0.0064,0.9083,0.0084
18,87.62,0:01:28,0.0066,0.9343,0.0087
20,73.98,0:01:15,0.0061,0.8698,0.0081
22,95.72,0:01:36,0.0071,1.0038,0.0093
24,95.50,0:01:36,0.0071,0.9997,0.0093
26,102.93,0:01:44,0.0074,1.0528,0.0098
28,103.59,0:01:44,0.0076,1.0786,0.0100
30,117.33,0:01:58,0.0083,1.1786,0.0110
32,104.65,0:01:45,0.0078,1.1008,0.0102
34,99.06,0:01:40,0.0074,1.0438,0.0097
36,95.38,0:01:36,0.0074,3.5109,0.0327
38,89.84,0:01:30,0.0073,1.0336,0.0096
40,84.74,0:01:25,0.0071,1.0046,0.0093
