Treads,time_seconds,Time,Energy,CO2eq,travelled
2,276.79,0:04:39,0.0098,4.6678,0.0434
4,162.21,0:02:44,0.0063,2.9983,0.0279
6,143.08,0:02:24,0.0061,2.8986,0.0270
8,139.78,0:02:21,0.0066,3.1443,0.0292
10,147.16,0:02:28,0.0076,3.6200,0.0337
12,121.24,0:02:02,0.0075,3.5684,0.0332
14,103.93,0:01:45,0.0068,3.2259,0.0300
16,92.34,0:01:33,0.0065,3.0643,0.0285
18,80.87,0:01:21,0.0062,2.9290,0.0272
20,76.22,0:01:17,0.0063,2.9782,0.0277
22,95.18,0:01:36,0.0070,3.3281,0.0310
24,97.22,0:01:38,0.0071,3.3858,0.0315
26,104.30,0:01:45,0.0075,3.5780,0.0333
28,102.02,0:01:43,0.0076,3.5908,0.0334
30,110.41,0:01:51,0.0079,3.7656,0.0350
32,103.20,0:01:44,0.0077,3.6673,0.0341
34,98.63,0:01:39,0.0076,3.6001,0.0335
36,95.08,0:01:36,0.0075,3.5401,0.0329
38,90.41,0:01:31,0.0074,3.5331,0.0329
40,87.28,0:01:28,0.0073,3.4865,0.0324
