Threads,time_seconds,Time,Energy,CO2eq,travelled
2,291.74,0:04:53,0.0100,1.4125,0.0131
4,171.00,0:02:52,0.0063,0.8891,0.0083
6,131.34,0:02:12,0.0053,0.7452,0.0069
8,111.26,0:01:52,0.0049,0.6917,0.0064
10,99.62,0:01:40,0.0048,0.6738,0.0063
12,76.03,0:01:17,0.0047,0.6640,0.0062
14,65.44,0:01:06,0.0043,0.6077,0.0057
16,57.54,0:00:58,0.0040,0.5656,0.0053
18,52.47,0:00:53,0.0039,0.5471,0.0051
20,47.92,0:00:48,0.0037,0.5296,0.0049
22,61.52,0:01:02,0.0045,0.6338,0.0059
24,60.91,0:01:01,0.0044,0.6277,0.0058
26,58.87,0:00:59,0.0043,0.6105,0.0057
28,57.98,0:00:58,0.0043,0.6115,0.0057
30,57.79,0:00:58,0.0044,0.6177,0.0057
32,53.28,0:00:54,0.0041,0.5852,0.0054
34,50.99,0:00:51,0.0040,0.5737,0.0053
36,47.90,0:00:48,0.0039,0.5499,0.0051
38,46.53,0:00:47,0.0038,0.5442,0.0051
40,44.97,0:00:45,0.0037,0.5308,0.0049
