Treads,time_seconds,Time,Energy,CO2eq,travelled
2,293.58,0:04:55,0.0101,4.7803,0.0445
4,170.67,0:02:52,0.0063,2.9695,0.0276
6,131.08,0:02:12,0.0053,2.4955,0.0232
8,111.28,0:01:52,0.0049,2.3205,0.0216
10,99.66,0:01:40,0.0048,2.2824,0.0212
12,74.73,0:01:15,0.0047,2.2133,0.0206
14,65.64,0:01:06,0.0044,2.0682,0.0192
16,58.41,0:00:59,0.0041,1.9552,0.0182
18,51.39,0:00:52,0.0038,1.8182,0.0169
20,47.96,0:00:48,0.0038,1.7995,0.0167
22,62.46,0:01:03,0.0046,2.1826,0.0203
24,60.73,0:01:01,0.0045,2.1227,0.0197
26,61.14,0:01:02,0.0046,2.1641,0.0201
28,58.15,0:00:59,0.0044,2.0877,0.0194
30,58.00,0:00:58,0.0044,2.1000,0.0195
32,54.75,0:00:55,0.0043,2.0390,0.0190
34,51.82,0:00:52,0.0041,1.9706,0.0183
36,49.77,0:00:50,0.0041,1.9263,0.0179
38,46.66,0:00:47,0.0039,1.8411,0.0171
40,44.84,0:00:45,0.0038,1.7875,0.0166
