Treads,time_seconds,Time,Energy,CO2eq,travelled
2,3.59662,0:00:04,0.0001,0.0591,0.0006
4,1.82124,0:00:02,0.0001,0.0432,0.0004
6,1.43581,0:00:01,0.0001,0.0360,0.0003
8,1.07811,0:00:01,0.0001,0.0294,0.0003
10,0.92270,0:00:01,0.0001,0.0249,0.0002
12,0.77625,0:00:01,0.0000,0.0000,0.0000
14,0.69095,0:00:01,0.0000,0.0000,0.0000
16,0.62159,0:00:01,0.0000,0.0000,0.0000
18,0.62128,0:00:01,0.0000,0.0000,0.0000
20,0.48148,0:00:00,0.0000,0.0000,0.0000
22,0.84177,0:00:01,0.0001,0.0252,0.0002
24,0.78855,0:00:01,0.0000,0.0000,0.0000
26,0.72358,0:00:01,0.0000,0.0000,0.0000
28,0.69540,0:00:01,0.0000,0.0000,0.0000
30,0.69281,0:00:01,0.0000,0.0000,0.0000
32,0.65545,0:00:01,0.0000,0.0000,0.0000
34,0.64273,0:00:01,0.0000,0.0000,0.0000
36,0.64824,0:00:01,0.0000,0.0000,0.0000
38,0.62128,0:00:01,0.0000,0.0000,0.0000
40,0.62086,0:00:01,0.0000,0.0000,0.0000
