 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2         3,75574 0:00:04  0,0001 0,0611               0,0006
      4         1,89636 0:00:02  0,0001 0,0435               0,0004
      6         1,39079 0:00:01  0,0001 0,0352               0,0003
      8         1,05676 0:00:01  0,0001 0,0283               0,0003
     10         0,88088 0:00:01  0,0000 0,0229               0,0002
     12         0,72743 0:00:01  0,0000 0,0000               0,0000
     14         0,96192 0:00:01  0,0001 0,0279               0,0003
     16         0,60162 0:00:01  0,0000 0,0000               0,0000
     18         0,58779 0:00:01  0,0000 0,0000               0,0000
     20         0,54707 0:00:01  0,0000 0,0000               0,0000
     22         0,84564 0:00:01  0,0001 0,0249               0,0002
     24         0,85532 0:00:01  0,0001 0,0255               0,0002
     26         0,77438 0:00:01  0,0000 0,0000               0,0000
     28         0,76192 0:00:01  0,0000 0,0000               0,0000
     30         0,69097 0:00:01  0,0000 0,0000               0,0000
     32         0,61338 0:00:01  0,0000 0,0000               0,0000
     34         0,61788 0:00:01  0,0000 0,0000               0,0000
     36         0,64249 0:00:01  0,0000 0,0000               0,0000
     38         0,78380 0:00:01  0,0000 0,0000               0,0000
     40         0,63366 0:00:01  0,0000 0,0000               0,0000
