Treads|Execution Time|Time|Energy|CO2eq|travelled
2|3,49013|0:00:04|0,0001|0,0553|0,0005
4|1,51326|0:00:02|0,0001|0,0346|0,0003
6|1,08568|0:00:01|0,0001|0,0267|0,0002
8|0,84830|0:00:01|0,0000|0,0200|0,0002
10|0,67857|0:00:01|0,0000|0,0000|0,0000
12|0,58196|0:00:01|0,0000|0,0000|0,0000
14|0,50814|0:00:01|0,0000|0,0000|0,0000
16|0,44446|0:00:00|0,0000|0,0000|0,0000
18|0,40717|0:00:00|0,0000|0,0000|0,0000
20|0,37237|0:00:00|0,0000|0,0000|0,0000
22|0,59807|0:00:01|0,0000|0,0000|0,0000
24|0,56696|0:00:01|0,0000|0,0000|0,0000
26|0,52792|0:00:01|0,0000|0,0000|0,0000
28|0,49529|0:00:01|0,0000|0,0000|0,0000
30|0,47195|0:00:00|0,0000|0,0000|0,0000
32|0,44602|0:00:00|0,0000|0,0000|0,0000
34|0,42933|0:00:00|0,0000|0,0000|0,0000
36|0,41130|0:00:00|0,0000|0,0000|0,0000
38|0,39352|0:00:00|0,0000|0,0000|0,0000
40|0,38264|0:00:00|0,0000|0,0000|0,0000
