Treads,time_seconds,Time,Energy,CO2eq,travelled
2,3.46425,0:00:03,0.0001,0.0550,0.0005
4,1.50379,0:00:02,0.0001,0.0348,0.0003
6,1.09569,0:00:01,0.0001,0.0271,0.0003
8,0.83682,0:00:01,0.0000,0.0199,0.0002
10,0.67350,0:00:01,0.0000,0.0000,0.0000
12,0.57830,0:00:01,0.0000,0.0000,0.0000
14,0.50491,0:00:01,0.0000,0.0000,0.0000
16,0.44654,0:00:00,0.0000,0.0000,0.0000
18,0.40443,0:00:00,0.0000,0.0000,0.0000
20,0.37429,0:00:00,0.0000,0.0000,0.0000
22,0.61231,0:00:01,0.0000,0.0000,0.0000
24,0.56352,0:00:01,0.0000,0.0000,0.0000
26,0.52811,0:00:01,0.0000,0.0000,0.0000
28,0.49454,0:00:01,0.0000,0.0000,0.0000
30,0.47079,0:00:00,0.0000,0.0000,0.0000
32,0.44338,0:00:00,0.0000,0.0000,0.0000
34,0.42492,0:00:00,0.0000,0.0000,0.0000
36,0.41328,0:00:00,0.0000,0.0000,0.0000
38,0.39585,0:00:00,0.0000,0.0000,0.0000
40,0.38402,0:00:00,0.0000,0.0000,0.0000
