 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2         3,55857 0:00:04  0,0001 0,0567               0,0005
      4         1,51756 0:00:02  0,0001 0,0349               0,0003
      6         1,08422 0:00:01  0,0001 0,0269               0,0002
      8         0,83229 0:00:01  0,0000 0,0197               0,0002
     10         0,70289 0:00:01  0,0000 0,0000               0,0000
     12         0,57829 0:00:01  0,0000 0,0000               0,0000
     14         0,50451 0:00:01  0,0000 0,0000               0,0000
     16         0,44895 0:00:00  0,0000 0,0000               0,0000
     18         0,41021 0:00:00  0,0000 0,0000               0,0000
     20         0,37413 0:00:00  0,0000 0,0000               0,0000
     22         0,61590 0:00:01  0,0000 0,0000               0,0000
     24         0,56611 0:00:01  0,0000 0,0000               0,0000
     26         0,53340 0:00:01  0,0000 0,0000               0,0000
     28         0,49984 0:00:01  0,0000 0,0000               0,0000
     30         0,47552 0:00:00  0,0000 0,0000               0,0000
     32         0,44642 0:00:00  0,0000 0,0000               0,0000
     34         0,42570 0:00:00  0,0000 0,0000               0,0000
     36         0,41091 0:00:00  0,0000 0,0000               0,0000
     38         0,39924 0:00:00  0,0000 0,0000               0,0000
     40         0,38409 0:00:00  0,0000 0,0000               0,0000
