 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       47,794891 0:00:48  0,0020 0,9382               0,0087
      4       35,416658 0:00:35  0,0014 0,6708               0,0062
      6       33,293171 0:00:33  0,0013 0,5994               0,0056
      8       31,379315 0:00:31  0,0012 0,5677               0,0053
     10       30,719242 0:00:31  0,0012 0,5707               0,0053
     12       30,338677 0:00:30  0,0013 0,6290               0,0059
     14       30,517048 0:00:31  0,0012 0,5881               0,0055
     16       31,017200 0:00:31  0,0013 0,6097               0,0057
     18       31,562776 0:00:32  0,0013 0,6337               0,0059
     20       32,034590 0:00:32  0,0014 0,6483               0,0060
     22       31,812718 0:00:32  0,0014 0,6635               0,0062
     24       32,854245 0:00:33  0,0014 0,6815               0,0063
     26       30,862793 0:00:31  0,0013 0,6400               0,0060
     28       32,088164 0:00:32  0,0014 0,6614               0,0062
     30       32,569543 0:00:33  0,0014 0,6878               0,0064
     32       32,162004 0:00:32  0,0014 0,6576               0,0061
     34       33,022566 0:00:33  0,0015 0,6890               0,0064
     36       33,248222 0:00:33  0,0015 0,6891               0,0064
     38       33,299263 0:00:33  0,0015 0,6936               0,0065
     40       34,627618 0:00:35  0,0019 0,8830               0,0082
     42       33,095903 0:00:33  0,0015 0,6914               0,0064
     44       33,714737 0:00:34  0,0015 0,6908               0,0064
     46       33,361479 0:00:33  0,0015 0,7226               0,0067
     48       34,168345 0:00:34  0,0017 0,7917               0,0074
     50       34,570380 0:00:35  0,0018 0,8726               0,0081
     52       35,435028 0:00:35  0,0021 0,9914               0,0092
     54       35,617838 0:00:36  0,0020 0,9689               0,0090
     56       35,731546 0:00:36  0,0019 0,9116               0,0085
     58       35,386547 0:00:35  0,0022 1,0325               0,0096
     60       35,392023 0:00:35  0,0021 1,0205               0,0095
     62       36,840859 0:00:37  0,0022 1,0282               0,0096
     64       36,156940 0:00:36  0,0023 1,1043               0,0103
     66       35,133164 0:00:35  0,0021 1,0156               0,0094
     68       35,399309 0:00:35  0,0022 1,0505               0,0098
     70       37,104610 0:00:37  0,0022 1,0339               0,0096
     72       36,177596 0:00:36  0,0022 1,0397               0,0097
     74       36,417341 0:00:36  0,0024 1,1183               0,0104
     76       35,206852 0:00:35  0,0021 0,9906               0,0092
     78       37,205444 0:00:37  0,0021 1,0202               0,0095
     80       37,006838 0:00:37  0,0022 1,0396               0,0097
     82       36,447581 0:00:36  0,0022 1,0538               0,0098
     84       36,479064 0:00:36  0,0022 1,0331               0,0096
     86       36,651464 0:00:37  0,0023 1,0982               0,0102
     88       36,257906 0:00:36  0,0022 1,0596               0,0099
