 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2        62,73997 0:01:03  0,0027 1,2597               0,0117
      4        33,09843 0:00:33  0,0016 0,7509               0,0070
      6        23,95322 0:00:24  0,0012 0,5933               0,0055
      8        19,92822 0:00:20  0,0011 0,5145               0,0048
     10        21,00484 0:00:21  0,0012 0,5497               0,0051
     12        18,09416 0:00:18  0,0011 0,5026               0,0047
     14        16,89229 0:00:17  0,0010 0,4887               0,0045
     16        17,46446 0:00:17  0,0011 0,5136               0,0048
     18        16,62295 0:00:17  0,0011 0,5039               0,0047
     20        17,02950 0:00:17  0,0011 0,5322               0,0050
     22        16,35478 0:00:16  0,0011 0,5283               0,0049
     24        19,56233 0:00:20  0,0013 0,5995               0,0056
     26        18,57785 0:00:19  0,0013 0,6053               0,0056
     28        17,61238 0:00:18  0,0012 0,5912               0,0055
     30        18,83060 0:00:19  0,0013 0,6012               0,0056
     32        18,22594 0:00:18  0,0013 0,6285               0,0058
     34        19,22515 0:00:19  0,0013 0,6406               0,0060
     36        18,08563 0:00:18  0,0014 0,6457               0,0060
     38        19,34965 0:00:19  0,0014 0,6694               0,0062
     40        17,14734 0:00:17  0,0014 0,6495               0,0060
     42        18,82109 0:00:19  0,0015 0,6932               0,0064
     44        20,11462 0:00:20  0,0015 0,7014               0,0065
     46        20,02711 0:00:20  0,0015 0,7295               0,0068
     48        19,19430 0:00:19  0,0015 0,7186               0,0067
     50        19,44151 0:00:19  0,0015 0,6958               0,0065
     52        19,72984 0:00:20  0,0015 0,7230               0,0067
     54        18,35069 0:00:18  0,0015 0,7068               0,0066
     56        18,19928 0:00:18  0,0015 0,7036               0,0065
     58        18,54097 0:00:19  0,0015 0,7054               0,0066
     60        17,41735 0:00:17  0,0015 0,6966               0,0065
     62        17,60357 0:00:18  0,0015 0,6959               0,0065
     64        17,56066 0:00:18  0,0015 0,7279               0,0068
     66        17,01281 0:00:17  0,0015 0,7122               0,0066
     68        17,21491 0:00:17  0,0015 0,7079               0,0066
     70        17,86852 0:00:18  0,0015 0,7278               0,0068
     72        17,13828 0:00:17  0,0015 0,7237               0,0067
     74        17,14112 0:00:17  0,0015 0,7219               0,0067
     76        16,00624 0:00:16  0,0014 0,6749               0,0063
     78        17,22152 0:00:17  0,0015 0,7282               0,0068
     80        16,08945 0:00:16  0,0014 0,6725               0,0063
     82        17,27760 0:00:17  0,0015 0,7313               0,0068
     84        17,20773 0:00:17  0,0015 0,7270               0,0068
     86        17,17267 0:00:17  0,0015 0,7289               0,0068
     88        16,75668 0:00:17  0,0015 0,7135               0,0066
