Treads|Execution Time|Time|Energy|CO2eq|travelled
2|57,778461|0:00:58|0,0042|2,0153|0,0187
4|55,748607|0:00:56|0,0042|1,9769|0,0184
6|50,261912|0:00:50|0,0040|1,9142|0,0178
8|55,945739|0:00:56|0,0043|2,0611|0,0192
10|55,174493|0:00:55|0,0044|2,0954|0,0195
12|56,286816|0:00:56|0,0046|2,2006|0,0205
14|52,295141|0:00:52|0,0044|2,1102|0,0196
16|53,681554|0:00:54|0,0045|2,1164|0,0197
18|53,713546|0:00:54|0,0045|2,1570|0,0201
20|50,939914|0:00:51|0,0045|2,1481|0,0200
22|52,294164|0:00:52|0,0045|2,1378|0,0199
24|50,877084|0:00:51|0,0048|2,2592|0,0210
26|53,325845|0:00:53|0,0047|2,2127|0,0206
28|51,367988|0:00:51|0,0047|2,2216|0,0207
30|51,439790|0:00:51|0,0047|2,2209|0,0207
32|52,474147|0:00:53|0,0047|2,2163|0,0206
34|54,469068|0:00:54|0,0049|2,3170|0,0216
36|51,413032|0:00:51|0,0047|2,2259|0,0207
38|52,023445|0:00:52|0,0047|2,2454|0,0209
40|51,461314|0:00:51|0,0047|2,2437|0,0209
42|52,404025|0:00:52|0,0048|2,2787|0,0212
44|53,230977|0:00:53|0,0047|2,2309|0,0208
46|53,784945|0:00:54|0,0051|2,4034|0,0224
48|51,334952|0:00:51|0,0048|2,2728|0,0211
