Treads,time_seconds,Time,Energy,CO2eq,travelled
2,32.14447,0:00:32,0.0024,1.1329,0.0105
4,33.99542,0:00:34,0.0026,1.2195,0.0113
6,30.10117,0:00:30,0.0024,1.1224,0.0104
8,26.11927,0:00:26,0.0022,1.0234,0.0095
10,24.27390,0:00:24,0.0021,0.9898,0.0092
12,26.38410,0:00:26,0.0023,1.0838,0.0101
14,26.53838,0:00:27,0.0023,1.1074,0.0103
16,25.81400,0:00:26,0.0023,1.0979,0.0102
18,26.32547,0:00:26,0.0024,1.1345,0.0106
20,26.32865,0:00:26,0.0024,1.1450,0.0107
22,26.31040,0:00:26,0.0024,1.1569,0.0108
24,27.06380,0:00:27,0.0026,1.2123,0.0113
26,26.96354,0:00:27,0.0025,1.1909,0.0111
28,27.07137,0:00:27,0.0025,1.1991,0.0112
30,26.70742,0:00:27,0.0025,1.1760,0.0109
32,27.24911,0:00:27,0.0025,1.1934,0.0111
34,26.47729,0:00:26,0.0025,1.1738,0.0109
36,27.48200,0:00:28,0.0025,1.2090,0.0112
38,26.92530,0:00:27,0.0025,1.1868,0.0110
40,27.15486,0:00:27,0.0025,1.1944,0.0111
42,27.40558,0:00:27,0.0026,1.2162,0.0113
44,27.68842,0:00:28,0.0026,1.2340,0.0115
46,27.50102,0:00:28,0.0026,1.2266,0.0114
48,28.05839,0:00:28,0.0026,1.2571,0.0117
