Treads|Execution Time|Time|Energy|CO2eq|travelled
2|90,78327|0:01:31|0,0068|0,9617|0,0089
4|64,78254|0:01:05|0,0051|0,7170|0,0067
6|45,61350|0:00:46|0,0038|0,5455|0,0051
8|49,19407|0:00:49|0,0043|0,6077|0,0057
10|44,36151|0:00:44|0,0040|0,5701|0,0053
12|44,69596|0:00:45|0,0042|0,5901|0,0055
14|44,79984|0:00:45|0,0043|0,6113|0,0057
16|43,57613|0:00:44|0,0043|0,6133|0,0057
18|42,35586|0:00:42|0,0043|0,6097|0,0057
20|42,35563|0:00:42|0,0044|0,6199|0,0058
22|41,31482|0:00:41|0,0043|0,6128|0,0057
24|41,67451|0:00:42|0,0044|0,6253|0,0058
26|42,91427|0:00:43|0,0045|0,6354|0,0059
28|44,63993|0:00:45|0,0046|0,6502|0,0060
30|44,56858|0:00:45|0,0046|0,6468|0,0060
32|44,03331|0:00:44|0,0045|0,6437|0,0060
34|44,21311|0:00:44|0,0045|0,6395|0,0059
36|44,00212|0:00:44|0,0045|0,6381|0,0059
38|45,25250|0:00:45|0,0047|0,6623|0,0062
40|43,62854|0:00:44|0,0045|0,6379|0,0059
42|43,59543|0:00:44|0,0045|0,6417|0,0060
44|43,97097|0:00:44|0,0046|0,6491|0,0060
46|47,25349|0:00:47|0,0049|0,6992|0,0065
48|45,51346|0:00:46|0,0048|0,6825|0,0063
