Treads|Time|Energy|CO2eq|travelled
2|0:01:02|0,0047|2,2233|0,0207
4|0:00:47|0,0037|1,7716|0,0165
6|0:00:45|0,0037|1,7613|0,0164
8|0:00:44|0,0038|1,7996|0,0167
10|0:00:44|0,0039|1,8713|0,0174
12|0:00:44|0,0040|1,9216|0,0179
14|0:00:39|0,0037|1,7436|0,0162
16|0:00:34|0,0033|1,5849|0,0147
18|0:00:31|0,0031|1,4821|0,0138
20|0:00:28|0,0030|1,4032|0,0131
22|0:00:25|0,0028|1,3291|0,0124
24|0:00:23|0,0027|1,2636|0,0118
26|0:00:26|0,0029|1,3541|0,0126
28|0:00:27|0,0030|1,4062|0,0131
30|0:00:28|0,0031|1,4680|0,0137
32|0:00:29|0,0032|1,5108|0,0141
34|0:00:30|0,0033|1,5627|0,0145
36|0:00:32|0,0034|1,6011|0,0149
38|0:00:30|0,0032|1,5387|0,0143
40|0:00:27|0,0031|1,4494|0,0135
42|0:00:27|0,0030|1,4435|0,0134
44|0:00:26|0,0029|1,3942|0,0130
46|0:00:24|0,0027|1,3023|0,0121
48|0:00:23|0,0027|1,2761|0,0119
