Treads|Time|Energy|CO2eq|travelled
2|0:04:15|0,0190|9,0226|0,0839
4|0:03:47|0,0179|8,4857|0,0789
6|0:04:18|0,0211|10,0013|0,0930
8|0:04:58|0,0250|3,5385|0,0329
10|0:05:28|0,0282|4,0051|0,0373
12|0:05:44|0,0300|4,2506|0,0395
14|0:05:01|0,0268|3,7955|0,0353
16|0:04:38|0,0254|3,6003|0,0335
18|0:03:57|0,0223|3,1686|0,0295
20|0:03:36|0,0212|3,0078|0,0280
22|0:03:38|0,0224|3,1712|0,0295
24|0:03:09|0,0204|2,8853|0,0268
26|0:03:18|0,0210|2,9706|0,0276
28|0:03:41|0,0226|3,2111|0,0299
30|0:04:07|0,0244|3,4539|0,0321
32|0:04:20|0,0254|3,6047|0,0335
34|0:04:22|0,0257|3,6486|0,0339
36|0:04:49|0,0275|3,8979|0,0363
38|0:04:33|0,0264|3,7482|0,0349
40|0:04:28|0,0262|3,7152|0,0346
42|0:04:04|0,0247|3,5054|0,0326
44|0:04:18|0,0261|3,7028|0,0344
46|0:03:39|0,0234|3,3116|0,0308
48|0:04:08|0,0260|3,6870|0,0343
