Treads|Execution Time|Time|Energy|CO2eq|travelled
2|2,47667|0:00:02|0,0002|0,0887|0,0008
4|1,15476|0:00:01|0,0001|0,0461|0,0004
6|0,79772|0:00:01|0,0001|0,0345|0,0003
8|0,62183|0:00:01|0,0000|0,0000|0,0000
10|0,53618|0:00:01|0,0000|0,0000|0,0000
12|0,50761|0:00:01|0,0000|0,0000|0,0000
14|0,50262|0:00:01|0,0000|0,0000|0,0000
16|0,44111|0:00:00|0,0000|0,0000|0,0000
18|0,41210|0:00:00|0,0000|0,0000|0,0000
20|0,43458|0:00:00|0,0000|0,0000|0,0000
22|0,40511|0:00:00|0,0000|0,0000|0,0000
24|0,41105|0:00:00|0,0000|0,0000|0,0000
26|0,59420|0:00:01|0,0000|0,0000|0,0000
28|0,55381|0:00:01|0,0000|0,0000|0,0000
30|0,48823|0:00:01|0,0000|0,0000|0,0000
32|0,45719|0:00:00|0,0000|0,0000|0,0000
34|0,49362|0:00:01|0,0000|0,0000|0,0000
36|0,55609|0:00:01|0,0000|0,0000|0,0000
38|0,66474|0:00:01|0,0000|0,0000|0,0000
40|0,65251|0:00:01|0,0000|0,0000|0,0000
42|0,68012|0:00:01|0,0000|0,0000|0,0000
44|0,54536|0:00:01|0,0000|0,0000|0,0000
46|0,51568|0:00:01|0,0000|0,0000|0,0000
48|0,56370|0:00:01|0,0000|0,0000|0,0000
