Treads|Execution Time|Time|Energy|CO2eq|travelled
2|4,76440|0:00:05|0,0003|0,0496|0,0005
4|1,47405|0:00:01|0,0001|0,0176|0,0002
6|1,05633|0:00:01|0,0001|0,0138|0,0001
8|1,13741|0:00:01|0,0001|0,0151|0,0001
10|0,93648|0:00:01|0,0001|0,0130|0,0001
12|0,54094|0:00:01|0,0000|0,0000|0,0000
14|0,41638|0:00:00|0,0000|0,0000|0,0000
16|0,32846|0:00:00|0,0000|0,0000|0,0000
18|0,18633|0:00:00|0,0000|0,0000|0,0000
20|0,14838|0:00:00|0,0000|0,0000|0,0000
22|0,14688|0:00:00|0,0000|0,0000|0,0000
24|0,14187|0:00:00|0,0000|0,0000|0,0000
26|0,32406|0:00:00|0,0000|0,0000|0,0000
28|0,29714|0:00:00|0,0000|0,0000|0,0000
30|0,25758|0:00:00|0,0000|0,0000|0,0000
32|0,23365|0:00:00|0,0000|0,0000|0,0000
34|0,20700|0:00:00|0,0000|0,0000|0,0000
36|0,18631|0:00:00|0,0000|0,0000|0,0000
38|0,17758|0:00:00|0,0000|0,0000|0,0000
40|0,16128|0:00:00|0,0000|0,0000|0,0000
42|0,15827|0:00:00|0,0000|0,0000|0,0000
44|0,15650|0:00:00|0,0000|0,0000|0,0000
46|0,15445|0:00:00|0,0000|0,0000|0,0000
48|0,15232|0:00:00|0,0000|0,0000|0,0000
