Treads,time_seconds,Time,Energy,CO2eq,travelled
2,5.85640,0:00:06,0.0004,0.2030,0.0019
4,1.65128,0:00:02,0.0001,0.0654,0.0006
6,0.93072,0:00:01,0.0001,0.0407,0.0004
8,0.70299,0:00:01,0.0000,0.0000,0.0000
10,0.55533,0:00:01,0.0000,0.0000,0.0000
12,0.63413,0:00:01,0.0000,0.0000,0.0000
14,0.42613,0:00:00,0.0000,0.0000,0.0000
16,0.33509,0:00:00,0.0000,0.0000,0.0000
18,0.17515,0:00:00,0.0000,0.0000,0.0000
20,0.14970,0:00:00,0.0000,0.0000,0.0000
22,0.14626,0:00:00,0.0000,0.0000,0.0000
24,0.13904,0:00:00,0.0000,0.0000,0.0000
26,0.32923,0:00:00,0.0000,0.0000,0.0000
28,0.30826,0:00:00,0.0000,0.0000,0.0000
30,0.26658,0:00:00,0.0000,0.0000,0.0000
32,0.22605,0:00:00,0.0000,0.0000,0.0000
34,0.20278,0:00:00,0.0000,0.0000,0.0000
36,0.18662,0:00:00,0.0000,0.0000,0.0000
38,0.17620,0:00:00,0.0000,0.0000,0.0000
40,0.15898,0:00:00,0.0000,0.0000,0.0000
42,0.15441,0:00:00,0.0000,0.0000,0.0000
44,0.15682,0:00:00,0.0000,0.0000,0.0000
46,0.15443,0:00:00,0.0000,0.0000,0.0000
48,0.15241,0:00:00,0.0000,0.0000,0.0000
