Treads,time_seconds,Time,Energy,CO2eq,travelled
2,57.899138,0:00:58,0.0042,1.9950,0.0186
4,55.669886,0:00:56,0.0041,1.9578,0.0182
6,52.552697,0:00:53,0.0042,1.9919,0.0185
8,53.655006,0:00:54,0.0041,1.9673,0.0183
10,51.638132,0:00:52,0.0042,2.0099,0.0187
12,54.993856,0:00:55,0.0044,2.1111,0.0196
14,54.600379,0:00:55,0.0045,2.1406,0.0199
16,51.508742,0:00:52,0.0044,2.0983,0.0195
18,51.983801,0:00:52,0.0045,2.1426,0.0199
20,52.931235,0:00:53,0.0045,2.1439,0.0199
22,48.899659,0:00:49,0.0046,2.1880,0.0204
24,52.935839,0:00:53,0.0046,2.1799,0.0203
26,48.785856,0:00:49,0.0045,2.1345,0.0199
28,50.823498,0:00:51,0.0046,2.1984,0.0205
30,51.634756,0:00:52,0.0047,2.2138,0.0206
32,51.478625,0:00:51,0.0047,2.2309,0.0208
34,52.343701,0:00:52,0.0046,2.2067,0.0205
36,51.878593,0:00:52,0.0047,2.2409,0.0208
38,50.498455,0:00:51,0.0046,2.1954,0.0204
40,51.553587,0:00:52,0.0047,2.2313,0.0208
42,51.341692,0:00:51,0.0047,2.2377,0.0208
44,53.700759,0:00:54,0.0050,2.3647,0.0220
46,54.874323,0:00:55,0.0052,2.4561,0.0228
48,55.139268,0:00:55,0.0051,2.4250,0.0226
