Treads,time_seconds,Time,Energy,CO2eq,travelled
2,56.84,0:01:03,0.0047,2.2422,0.0209
4,43.64,0:00:47,0.0037,1.7759,0.0165
6,42.10,0:00:45,0.0037,1.7646,0.0164
8,41.80,0:00:44,0.0038,1.7903,0.0167
10,42.16,0:00:44,0.0039,1.8601,0.0173
12,42.54,0:00:45,0.0040,1.9148,0.0178
14,37.24,0:00:39,0.0037,1.7360,0.0161
16,32.46,0:00:34,0.0033,1.5720,0.0146
18,29.35,0:00:31,0.0031,1.4845,0.0138
20,26.58,0:00:28,0.0030,1.4027,0.0130
22,22.94,0:00:24,0.0027,1.2805,0.0119
24,21.96,0:00:23,0.0026,1.2572,0.0117
26,24.38,0:00:26,0.0029,1.3561,0.0126
28,25.41,0:00:27,0.0030,1.4133,0.0131
30,26.77,0:00:28,0.0031,1.4693,0.0137
32,27.97,0:00:29,0.0032,1.5216,0.0142
34,28.30,0:00:30,0.0032,1.5321,0.0143
36,29.80,0:00:31,0.0033,1.5909,0.0148
38,28.18,0:00:30,0.0032,1.5332,0.0143
40,27.10,0:00:28,0.0032,1.4969,0.0139
42,25.03,0:00:26,0.0030,1.4116,0.0131
44,24.23,0:00:25,0.0029,1.3818,0.0129
46,23.04,0:00:24,0.0028,1.3313,0.0124
48,22.25,0:00:23,0.0027,1.2832,0.0119
