Treads|Time|Energy|CO2eq|travelled
2|0:04:16|0,0188|8,9198|0,0830
4|0:03:05|0,0145|6,8880|0,0641
6|0:02:44|0,0134|6,3556|0,0591
8|0:02:36|0,0132|6,2716|0,0583
10|0:02:30|0,0131|6,2375|0,0580
12|0:02:28|0,0132|6,2639|0,0583
14|0:02:03|0,0113|5,3882|0,0501
16|0:01:50|0,0106|5,0462|0,0469
18|0:01:35|0,0097|4,5930|0,0427
20|0:01:23|0,0088|4,1777|0,0389
22|0:01:17|0,0085|4,0301|0,0375
24|0:01:14|0,0083|3,9478|0,0367
26|0:01:23|0,0092|4,3796|0,0407
28|0:01:28|0,0097|4,6172|0,0430
30|0:01:30|0,0099|4,7094|0,0438
32|0:01:30|0,0099|4,7183|0,0439
34|0:01:39|0,0108|5,1238|0,0477
36|0:01:34|0,0103|4,8954|0,0455
38|0:01:33|0,0103|4,8781|0,0454
40|0:01:28|0,0098|4,6669|0,0434
42|0:01:21|0,0091|4,3196|0,0402
44|0:01:19|0,0089|4,2152|0,0392
46|0:01:15|0,0085|4,0502|0,0377
48|0:01:13|0,0083|3,9308|0,0366
