Threads,time_seconds,Time,Energy,CO2eq,travelled
2,58.045296,0:00:58,0.0042,2.0078,0.0187
4,55.589647,0:00:56,0.0041,1.9615,0.0182
6,55.245146,0:00:55,0.0042,1.9929,0.0185
8,54.757933,0:00:55,0.0043,2.0258,0.0188
10,55.236152,0:00:55,0.0042,1.9926,0.0185
12,55.918966,0:00:56,0.0045,2.1303,0.0198
14,55.790120,0:00:56,0.0046,2.1719,0.0202
16,53.676484,0:00:54,0.0045,2.1432,0.0199
18,51.073812,0:00:51,0.0045,2.1180,0.0197
20,50.968047,0:00:51,0.0045,2.1541,0.0200
22,52.987961,0:00:53,0.0049,2.3323,0.0217
24,55.103601,0:00:55,0.0048,2.2863,0.0213
26,51.490354,0:00:52,0.0047,2.2168,0.0206
28,54.509825,0:00:55,0.0047,2.2332,0.0208
30,54.520792,0:00:55,0.0050,2.3674,0.0220
32,53.606116,0:00:54,0.0047,2.2546,0.0210
34,51.968665,0:00:52,0.0047,2.2175,0.0206
36,51.898797,0:00:52,0.0047,2.2308,0.0208
38,56.506191,0:00:57,0.0051,2.4158,0.0225
40,55.552846,0:00:56,0.0050,2.3763,0.0221
42,55.574074,0:00:56,0.0050,2.3887,0.0222
44,49.718601,0:00:50,0.0046,2.1861,0.0203
46,50.613418,0:00:51,0.0047,2.2198,0.0206
48,50.281132,0:00:50,0.0047,2.2268,0.0207
