Threads,time_seconds,Time,Energy,CO2eq,travelled
2,36.54589,0:00:37,0.0027,1.2724,0.0118
4,33.95827,0:00:34,0.0026,1.2440,0.0116
6,25.73966,0:00:26,0.0021,0.9827,0.0091
8,25.76445,0:00:26,0.0021,1.0113,0.0094
10,25.74332,0:00:26,0.0022,1.0389,0.0097
12,25.82452,0:00:26,0.0022,1.0651,0.0099
14,25.80424,0:00:26,0.0023,1.0750,0.0100
16,24.94731,0:00:25,0.0023,1.0817,0.0101
18,26.16373,0:00:26,0.0024,1.1376,0.0106
20,25.72634,0:00:26,0.0024,1.1382,0.0106
22,27.10876,0:00:27,0.0025,1.1879,0.0111
24,26.40270,0:00:26,0.0025,1.1780,0.0110
26,25.65550,0:00:26,0.0024,1.1475,0.0107
28,26.64549,0:00:27,0.0025,1.1782,0.0110
30,26.91014,0:00:27,0.0025,1.1843,0.0110
32,25.79808,0:00:26,0.0024,1.1491,0.0107
34,26.74197,0:00:27,0.0025,1.1801,0.0110
36,26.76648,0:00:27,0.0025,1.1839,0.0110
38,26.83041,0:00:27,0.0025,1.1925,0.0111
40,25.30114,0:00:25,0.0024,1.1275,0.0105
42,27.00675,0:00:27,0.0025,1.2031,0.0112
44,27.43137,0:00:27,0.0026,1.2212,0.0114
46,27.05841,0:00:27,0.0026,1.2184,0.0113
48,27.67003,0:00:28,0.0026,1.2427,0.0116
