Treads,time_seconds,Time,Energy,CO2eq,travelled
2,91.10817,0:01:31,0.0066,3.1356,0.0292
4,64.33810,0:01:04,0.0050,2.3758,0.0221
6,46.42089,0:00:46,0.0039,1.8501,0.0172
8,45.39673,0:00:45,0.0040,1.8938,0.0176
10,44.34363,0:00:44,0.0040,1.9036,0.0177
12,44.42107,0:00:44,0.0041,1.9656,0.0183
14,43.21664,0:00:43,0.0042,1.9830,0.0184
16,43.48692,0:00:44,0.0043,2.0352,0.0189
18,44.71587,0:00:45,0.0045,2.1415,0.0199
20,42.88963,0:00:43,0.0044,2.1071,0.0196
22,42.19613,0:00:42,0.0044,2.0930,0.0195
24,41.00692,0:00:41,0.0044,2.0741,0.0193
26,43.15955,0:00:43,0.0045,2.1340,0.0199
28,44.32952,0:00:44,0.0046,2.1623,0.0201
30,44.78055,0:00:45,0.0046,2.1827,0.0203
32,45.15980,0:00:45,0.0046,2.1999,0.0205
34,44.89717,0:00:45,0.0046,2.1718,0.0202
36,43.62160,0:00:44,0.0045,2.1204,0.0197
38,44.91801,0:00:45,0.0046,2.1792,0.0203
40,45.45998,0:00:45,0.0047,2.2355,0.0208
42,44.12179,0:00:44,0.0046,2.1627,0.0201
44,45.04289,0:00:45,0.0047,2.2403,0.0208
46,46.62631,0:00:47,0.0049,2.3278,0.0217
48,43.92267,0:00:44,0.0046,2.1961,0.0204
