 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2        90,63847 0:01:31  0,0068 3,2139               0,0299
      4        60,08578 0:01:00  0,0047 2,2483               0,0209
      6        46,17868 0:00:46  0,0039 1,8374               0,0171
      8        45,09215 0:00:45  0,0039 1,8702               0,0174
     10        44,21917 0:00:44  0,0040 1,8980               0,0177
     12        43,50323 0:00:44  0,0041 1,9358               0,0180
     14        45,38669 0:00:45  0,0044 2,0836               0,0194
     16        44,10552 0:00:44  0,0044 2,0692               0,0192
     18        45,47930 0:00:46  0,0046 2,1894               0,0204
     20        41,94987 0:00:42  0,0043 2,0611               0,0192
     22        42,62304 0:00:43  0,0044 2,0981               0,0195
     24        41,58818 0:00:42  0,0044 2,0958               0,0195
     26        44,41578 0:00:44  0,0046 2,1779               0,0203
     28        43,82720 0:00:44  0,0045 2,1482               0,0200
     30        45,05226 0:00:45  0,0046 2,1924               0,0204
     32        45,66604 0:00:46  0,0047 2,2248               0,0207
     34        44,38124 0:00:44  0,0045 2,1502               0,0200
     36        43,86059 0:00:44  0,0045 2,1430               0,0199
     38        44,65348 0:00:45  0,0046 2,1784               0,0203
     40        44,56074 0:00:45  0,0046 2,1700               0,0202
     42        43,14551 0:00:43  0,0045 2,1309               0,0198
     44        44,23216 0:00:44  0,0046 2,1893               0,0204
     46        42,51339 0:00:43  0,0045 2,1179               0,0197
     48        44,94311 0:00:45  0,0047 2,2557               0,0210
