Treads|Time|Energy|CO2eq|travelled
2|0:01:31|0,0068|0,9673|0,0090
4|0:00:55|0,0044|0,6192|0,0058
6|0:00:44|0,0038|0,5322|0,0050
8|0:00:43|0,0038|0,5389|0,0050
10|0:00:45|0,0041|0,5875|0,0055
12|0:00:44|0,0042|0,6011|0,0056
14|0:00:45|0,0044|0,6297|0,0059
16|0:00:47|0,0048|0,6772|0,0063
18|0:00:51|0,0053|0,7576|0,0070
20|0:00:51|0,0054|0,7639|0,0071
22|0:00:54|0,0058|0,8207|0,0076
24|0:00:55|0,0061|0,8594|0,0080
26|0:01:04|0,0070|0,9973|0,0093
28|0:01:07|0,0073|1,0345|0,0096
30|0:01:07|0,0074|1,0511|0,0098
32|0:01:10|0,0077|1,0907|0,0101
34|0:01:13|0,0080|1,1329|0,0105
36|0:01:13|0,0080|1,1349|0,0106
38|0:01:14|0,0082|1,1677|0,0109
40|0:01:23|0,0091|1,2948|0,0120
42|0:01:24|0,0093|1,3176|0,0123
44|0:01:23|0,0092|1,3060|0,0121
46|0:01:26|0,0084|1,1876|0,0110
48|0:01:29|0,0099|1,4076|0,0131
