Threads,time_seconds,Time,Energy,CO2eq,travelled
2,340.18,0:05:43,0.0252,3.5685,0.0332
4,203.60,0:03:25,0.0164,2.3281,0.0217
6,161.97,0:02:44,0.0139,1.9664,0.0183
8,140.27,0:02:22,0.0126,1.7817,0.0166
10,127.88,0:02:09,0.0120,1.6987,0.0158
12,123.18,0:02:04,0.0117,1.6560,0.0154
14,108.39,0:01:49,0.0106,1.5026,0.0140
16,98.82,0:01:40,0.0101,1.4385,0.0134
18,83.80,0:01:25,0.0090,1.2738,0.0118
20,77.53,0:01:18,0.0086,1.2191,0.0113
22,71.67,0:01:12,0.0084,1.1914,0.0111
24,70.24,0:01:11,0.0083,1.1814,0.0110
26,85.59,0:01:26,0.0096,1.3571,0.0126
28,85.54,0:01:26,0.0096,1.3677,0.0127
30,84.84,0:01:26,0.0095,1.3475,0.0125
32,80.94,0:01:22,0.0091,1.2945,0.0120
34,83.08,0:01:24,0.0094,1.3338,0.0124
36,83.20,0:01:24,0.0091,1.2920,0.0120
38,88.96,0:01:30,0.0097,1.3797,0.0128
40,77.55,0:01:18,0.0088,1.2448,0.0116
42,72.42,0:01:13,0.0084,1.1938,0.0111
44,69.25,0:01:10,0.0083,1.1698,0.0109
46,65.55,0:01:06,0.0079,1.1239,0.0105
48,70.81,0:01:12,0.0083,1.1782,0.0110
