Treads,time_seconds,Time,Energy,CO2eq,travelled
2,340.49,0:05:43,0.0251,11.9076,0.1108
4,203.28,0:03:25,0.0164,7.7962,0.0725
6,161.94,0:02:43,0.0138,6.5526,0.0610
8,140.45,0:02:22,0.0126,6.0029,0.0558
10,127.80,0:02:09,0.0119,1.6894,0.0157
12,123.08,0:02:04,0.0117,1.6598,0.0154
14,109.83,0:01:51,0.0107,1.5114,0.0141
16,95.67,0:01:37,0.0098,1.3932,0.0130
18,85.33,0:01:26,0.0092,1.3026,0.0121
20,75.26,0:01:16,0.0085,1.2074,0.0112
22,73.98,0:01:15,0.0086,1.2144,0.0113
24,66.37,0:01:07,0.0080,1.1369,0.0106
26,87.01,0:01:28,0.0097,1.3682,0.0127
28,80.51,0:01:21,0.0091,1.2941,0.0120
30,87.42,0:01:28,0.0096,1.3644,0.0127
32,79.99,0:01:21,0.0090,1.2705,0.0118
34,79.58,0:01:20,0.0089,1.2649,0.0118
36,98.29,0:01:39,0.0107,1.5146,0.0141
38,82.75,0:01:24,0.0092,1.3067,0.0122
40,76.95,0:01:18,0.0087,1.2365,0.0115
42,74.09,0:01:15,0.0085,1.2071,0.0112
44,72.13,0:01:13,0.0086,1.2177,0.0113
46,68.41,0:01:09,0.0082,1.1582,0.0108
48,68.17,0:01:09,0.0081,1.1450,0.0107
