Threads,time_seconds,Time,Energy,CO2eq,travelled
2,57.06,0:01:03,0.0047,2.2445,0.0209
4,43.58,0:00:47,0.0037,1.7696,0.0165
6,41.93,0:00:45,0.0037,1.7554,0.0163
8,41.77,0:00:44,0.0038,1.7991,0.0167
10,42.23,0:00:44,0.0039,1.8587,0.0173
12,42.53,0:00:44,0.0040,1.9167,0.0178
14,37.07,0:00:39,0.0036,1.7329,0.0161
16,32.67,0:00:34,0.0033,1.5823,0.0147
18,29.44,0:00:31,0.0031,1.4890,0.0139
20,26.70,0:00:28,0.0030,1.4086,0.0131
22,24.04,0:00:25,0.0028,1.3235,0.0123
24,22.61,0:00:24,0.0027,1.2856,0.0120
26,24.61,0:00:26,0.0029,1.3638,0.0127
28,24.93,0:00:26,0.0029,1.3910,0.0129
30,26.82,0:00:28,0.0031,1.4770,0.0137
32,28.00,0:00:29,0.0032,1.5198,0.0141
34,28.89,0:00:30,0.0033,1.5518,0.0144
36,29.64,0:00:31,0.0033,1.5802,0.0147
38,28.51,0:00:30,0.0033,1.5441,0.0144
40,27.19,0:00:28,0.0032,1.4987,0.0139
42,25.72,0:00:27,0.0030,1.4403,0.0134
44,24.60,0:00:26,0.0029,1.4003,0.0130
46,23.03,0:00:24,0.0028,1.3272,0.0123
48,22.19,0:00:23,0.0027,1.2788,0.0119
