Threads,time_seconds,Time,Energy,CO2eq,travelled
2,120.21,0:02:07,0.0095,4.5047,0.0419
4,125.88,0:02:10,0.0102,4.8335,0.0450
6,127.95,0:02:12,0.0107,5.0744,0.0472
8,127.28,0:02:11,0.0110,5.2249,0.0486
10,126.04,0:02:09,0.0112,5.3039,0.0493
12,123.81,0:02:07,0.0111,5.2809,0.0491
14,106.81,0:01:50,0.0098,4.6419,0.0432
16,92.85,0:01:35,0.0088,4.1773,0.0389
18,83.65,0:01:26,0.0082,3.8954,0.0362
20,75.34,0:01:17,0.0077,3.6659,0.0341
22,69.08,0:01:11,0.0074,3.5102,0.0327
24,63.87,0:01:06,0.0071,3.3857,0.0315
26,68.42,0:01:10,0.0074,3.5093,0.0326
28,73.49,0:01:15,0.0077,3.6652,0.0341
30,77.21,0:01:19,0.0080,3.7987,0.0353
32,80.54,0:01:22,0.0083,3.9302,0.0366
34,84.28,0:01:26,0.0086,4.0760,0.0379
36,86.78,0:01:29,0.0087,4.1234,0.0384
38,82.43,0:01:24,0.0084,3.9676,0.0369
40,79.82,0:01:22,0.0082,3.8754,0.0361
42,75.10,0:01:17,0.0079,3.7338,0.0347
44,72.82,0:01:14,0.0078,3.6938,0.0344
46,69.30,0:01:11,0.0076,3.5914,0.0334
48,67.51,0:01:09,0.0074,3.5372,0.0329
