Treads,time_seconds,Time,Energy,CO2eq,travelled
2,120.14,0:02:07,0.0094,4.4773,0.0416
4,126.10,0:02:11,0.0102,4.8438,0.0451
6,127.77,0:02:12,0.0107,5.0742,0.0472
8,127.31,0:02:11,0.0110,5.2391,0.0487
10,125.09,0:02:08,0.0111,5.2825,0.0491
12,122.81,0:02:06,0.0110,5.2207,0.0486
14,106.32,0:01:49,0.0098,4.6378,0.0431
16,92.42,0:01:35,0.0088,4.1657,0.0388
18,83.68,0:01:26,0.0082,3.9116,0.0364
20,75.83,0:01:18,0.0078,3.6938,0.0344
22,68.90,0:01:11,0.0074,3.5046,0.0326
24,63.68,0:01:05,0.0071,3.3826,0.0315
26,69.00,0:01:11,0.0074,3.5380,0.0329
28,73.92,0:01:16,0.0078,3.7094,0.0345
30,77.82,0:01:20,0.0081,3.8291,0.0356
32,81.06,0:01:23,0.0083,3.9569,0.0368
34,83.04,0:01:25,0.0085,4.0181,0.0374
36,87.51,0:01:30,0.0088,4.1639,0.0387
38,82.05,0:01:24,0.0083,3.9644,0.0369
40,77.57,0:01:19,0.0080,3.8120,0.0355
42,76.42,0:01:18,0.0080,3.8010,0.0354
44,72.62,0:01:14,0.0078,3.6829,0.0343
46,69.27,0:01:11,0.0076,3.5951,0.0334
48,67.72,0:01:09,0.0075,3.5512,0.0330
