Treads|Time|Energy|CO2eq|travelled
2|0:02:07|0,0095|1,3419|0,0125
4|0:02:10|0,0102|1,4393|0,0134
6|0:02:12|0,0107|1,5136|0,0141
8|0:02:11|0,0110|1,5660|0,0146
10|0:02:08|0,0111|1,5772|0,0147
12|0:02:06|0,0110|1,5646|0,0146
14|0:01:50|0,0098|1,3876|0,0129
16|0:01:35|0,0088|1,2435|0,0116
18|0:01:25|0,0082|1,1612|0,0108
20|0:01:17|0,0077|1,0970|0,0102
22|0:01:11|0,0074|1,0531|0,0098
24|0:01:05|0,0071|1,0008|0,0093
26|0:01:11|0,0075|1,0567|0,0098
28|0:01:16|0,0078|1,1042|0,0103
30|0:01:20|0,0081|1,1484|0,0107
32|0:01:23|0,0083|1,1773|0,0110
34|0:01:25|0,0085|1,1987|0,0112
36|0:01:29|0,0086|1,2201|0,0113
38|0:01:24|0,0084|1,1858|0,0110
40|0:01:21|0,0081|1,1537|0,0107
42|0:01:17|0,0079|1,1163|0,0104
44|0:01:14|0,0078|1,1038|0,0103
46|0:01:10|0,0075|1,0610|0,0099
48|0:01:09|0,0075|1,0573|0,0098
