Treads,time_seconds,Time,Energy,CO2eq,travelled
2,252.16,0:04:14,0.0189,8.9904,0.0836
4,223.96,0:03:45,0.0178,8.4605,0.0787
6,254.79,0:04:16,0.0209,9.9171,0.0923
8,297.01,0:04:58,0.0251,11.9354,0.1110
10,325.13,0:05:27,0.0281,13.3677,0.1244
12,342.25,0:05:44,0.0300,14.2411,0.1325
14,301.42,0:05:03,0.0271,12.8594,0.1196
16,278.84,0:04:40,0.0256,12.1767,0.1133
18,236.99,0:03:58,0.0225,10.6830,0.0994
20,232.39,0:03:53,0.0228,10.8269,0.1007
22,203.77,0:03:25,0.0210,9.9849,0.0929
24,186.77,0:03:08,0.0203,9.6289,0.0896
26,221.13,0:03:42,0.0231,10.9941,0.1023
28,208.66,0:03:30,0.0219,10.4087,0.0968
30,232.46,0:03:54,0.0235,11.1653,0.1039
32,238.92,0:04:00,0.0240,11.4231,0.1063
34,250.67,0:04:12,0.0250,11.8869,0.1106
36,297.46,0:04:59,0.0285,13.5262,0.1258
38,275.70,0:04:37,0.0267,12.6780,0.1179
40,259.83,0:04:21,0.0256,12.1706,0.1132
42,268.97,0:04:30,0.0267,12.6876,0.1180
44,223.74,0:03:45,0.0236,11.2225,0.1044
46,217.74,0:03:39,0.0233,11.0613,0.1029
48,239.22,0:04:00,0.0250,11.8778,0.1105
