Threads,time_seconds,Time,Energy,CO2eq,travelled
2,254.10,0:04:16,0.0186,2.6397,0.0246
4,184.60,0:03:06,0.0145,2.0536,0.0191
6,162.53,0:02:43,0.0134,1.8974,0.0177
8,155.37,0:02:36,0.0133,1.8865,0.0175
10,151.00,0:02:32,0.0132,1.8766,0.0175
12,147.90,0:02:29,0.0133,1.8815,0.0175
14,125.38,0:02:06,0.0116,1.6480,0.0153
16,108.06,0:01:49,0.0105,1.4860,0.0138
18,98.32,0:01:39,0.0100,1.4196,0.0132
20,83.18,0:01:24,0.0089,1.2601,0.0117
22,77.46,0:01:18,0.0086,1.2122,0.0113
24,72.29,0:01:13,0.0082,1.1614,0.0108
26,88.75,0:01:29,0.0099,1.3979,0.0130
28,88.02,0:01:29,0.0098,1.3857,0.0129
30,88.93,0:01:30,0.0099,1.4018,0.0130
32,93.21,0:01:34,0.0103,1.4647,0.0136
34,89.71,0:01:30,0.0099,1.4106,0.0131
36,98.52,0:01:39,0.0108,1.5338,0.0143
38,87.14,0:01:28,0.0097,1.3811,0.0128
40,83.67,0:01:24,0.0094,1.3351,0.0124
42,80.20,0:01:21,0.0091,1.2859,0.0120
44,77.76,0:01:18,0.0088,1.2531,0.0117
46,76.67,0:01:17,0.0087,1.2366,0.0115
48,71.69,0:01:12,0.0082,1.1562,0.0108
