Treads,time_seconds,Time,Energy,CO2eq,travelled
2,2.39698,0:00:02,0.0002,0.0866,0.0008
4,1.19961,0:00:01,0.0001,0.0476,0.0004
6,0.80852,0:00:01,0.0001,0.0326,0.0003
8,0.69680,0:00:01,0.0000,0.0000,0.0000
10,0.53569,0:00:01,0.0000,0.0000,0.0000
12,0.45928,0:00:00,0.0000,0.0000,0.0000
14,0.48441,0:00:00,0.0000,0.0000,0.0000
16,0.38804,0:00:00,0.0000,0.0000,0.0000
18,0.44590,0:00:00,0.0000,0.0000,0.0000
20,0.38524,0:00:00,0.0000,0.0000,0.0000
22,0.40535,0:00:00,0.0000,0.0000,0.0000
24,0.40038,0:00:00,0.0000,0.0000,0.0000
26,0.56125,0:00:01,0.0000,0.0000,0.0000
28,0.56024,0:00:01,0.0000,0.0000,0.0000
30,0.48369,0:00:00,0.0000,0.0000,0.0000
32,0.48287,0:00:00,0.0000,0.0000,0.0000
34,0.47321,0:00:00,0.0000,0.0000,0.0000
36,0.61181,0:00:01,0.0000,0.0000,0.0000
38,0.74033,0:00:01,0.0000,0.0000,0.0000
40,0.62831,0:00:01,0.0000,0.0000,0.0000
42,0.57842,0:00:01,0.0000,0.0000,0.0000
44,0.52048,0:00:01,0.0000,0.0000,0.0000
46,0.51963,0:00:01,0.0000,0.0000,0.0000
48,0.56478,0:00:01,0.0000,0.0000,0.0000
